Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/abrinal01.html,Álex Abrines,SG,23,https://www.basketball-reference.com/teams/OKC/2017.html,OKC,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-1.3,-0.4,-1.6,,0.1
2,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,26,,,38,558,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.5,-0.6,-2.1,-2.1,0.0
2,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,26,https://www.basketball-reference.com/teams/DAL/2017.html,DAL,6,48,-1.4,.355,.412,.176,4.6,15.2,9.7,0.0,0.0,0.0,9.8,20.0,-0.2,0.0,-0.1,-0.133,-10.3,-4.1,-14.3,-14.3,-0.1
2,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,26,https://www.basketball-reference.com/teams/BRK/2017.html,BRK,32,510,13.1,.587,.542,.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,.102,-0.6,-0.2,-0.9,-0.9,0.1
3,https://www.basketball-reference.com/players/a/adamsst01.html,Steven Adams,C,23,https://www.basketball-reference.com/teams/OKC/2017.html,OKC,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.2,0.0,-0.2,,1.1
4,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,31,https://www.basketball-reference.com/teams/SAC/2017.html,SAC,61,1580,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,.043,-2.1,-1.5,-3.6,,-0.7
5,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,28,https://www.basketball-reference.com/teams/NOP/2017.html,NOP,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-4.0,0.7,-3.3,-3.3,-0.2
6,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,28,https://www.basketball-reference.com/teams/MIN/2017.html,MIN,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.3,1.5,-0.8,,0.2
7,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,31,https://www.basketball-reference.com/teams/SAS/2017.html,SAS,72,2335,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,.149,0.7,0.1,0.8,,1.7
8,https://www.basketball-reference.com/players/a/allenla01.html,Lavoy Allen,PF,27,https://www.basketball-reference.com/teams/IND/2017.html,IND,61,871,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,-0.2,-1.7,,0.1
9,https://www.basketball-reference.com/players/a/allento01.html,Tony Allen,SG,35,https://www.basketball-reference.com/teams/MEM/2017.html,MEM,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-2.0,1.1,-1.0,,0.5
10,https://www.basketball-reference.com/players/a/aminual01.html,Al-Farouq Aminu,PF,26,https://www.basketball-reference.com/teams/POR/2017.html,POR,61,1773,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-1.4,0.4,-1.1,,0.4
