Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
19,https://www.basketball-reference.com/players/a/antetgi01.html,Giannis Antetokounmpo,PG,21,https://www.basketball-reference.com/teams/MIL/2016.html,MIL,80,2823,18.8,.566,.108,.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,.121,1.3,0.7,2.1,,2.9
20,https://www.basketball-reference.com/players/a/antetth01.html,Thanasis Antetokounmpo,SF,23,https://www.basketball-reference.com/teams/NYK/2016.html,NYK,2,6,32.9,.750,.250,.000,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,.291,3.7,2.2,5.9,5.9,0.0
21,https://www.basketball-reference.com/players/a/anthoca01.html,Carmelo Anthony,SF,31,https://www.basketball-reference.com/teams/NYK/2016.html,NYK,72,2530,20.3,.530,.237,.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,.121,3.8,-0.5,3.3,,3.4
22,https://www.basketball-reference.com/players/a/anthojo01.html,Joel Anthony,C,33,https://www.basketball-reference.com/teams/DET/2016.html,DET,19,96,14.1,.666,.000,.800,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,0.2,0.2,0.4,.177,-2.9,3.3,0.4,0.4,0.1
23,https://www.basketball-reference.com/players/a/applike01.html,Keith Appling,PG,23,https://www.basketball-reference.com/teams/ORL/2016.html,ORL,5,27,-4.8,.338,.375,.250,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,-0.1,0.0,-0.1,-0.199,-13.2,-2.0,-15.1,-15.1,-0.1
24,https://www.basketball-reference.com/players/a/arizatr01.html,Trevor Ariza,SF,30,https://www.basketball-reference.com/teams/HOU/2016.html,HOU,81,2859,12.9,.551,.581,.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,3.1,2.3,5.4,.090,0.1,0.3,0.4,,1.7
25,https://www.basketball-reference.com/players/a/arthuda01.html,Darrell Arthur,PF,27,https://www.basketball-reference.com/teams/DEN/2016.html,DEN,70,1516,12.5,.514,.239,.108,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,1.0,1.3,2.3,.072,-1.3,0.5,-0.8,,0.4
26,https://www.basketball-reference.com/players/a/asikom01.html,Ömer Aşık,C,29,https://www.basketball-reference.com/teams/NOP/2016.html,NOP,68,1178,11.0,.551,.000,.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,0.7,1.0,1.7,.070,-2.8,-1.0,-3.8,,-0.5
27,https://www.basketball-reference.com/players/a/augusdj01.html,D.J. Augustin,PG,28,,,62,1178,13.9,.575,.480,.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,2.0,0.6,2.6,.106,0.6,-1.1,-0.4,,0.4
27,https://www.basketball-reference.com/players/a/augusdj01.html,D.J. Augustin,PG,28,https://www.basketball-reference.com/teams/OKC/2016.html,OKC,34,519,8.7,.522,.504,.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,0.4,0.3,0.7,.065,-1.9,-0.4,-2.4,-2.4,-0.1
27,https://www.basketball-reference.com/players/a/augusdj01.html,D.J. Augustin,PG,28,https://www.basketball-reference.com/teams/DEN/2016.html,DEN,28,659,18.0,.601,.467,.410,0.5,8.4,4.4,32.0,1.9,0.2,16.6,21.5,1.6,0.3,1.9,.139,2.7,-1.6,1.1,1.1,0.5
28,https://www.basketball-reference.com/players/p/pendeje02.html,Jeff Ayres,C,28,https://www.basketball-reference.com/teams/LAC/2016.html,LAC,17,107,8.3,.585,.043,.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,.077,-5.6,-0.5,-6.1,-6.1,-0.1
29,https://www.basketball-reference.com/players/b/babbilu01.html,Luke Babbitt,SF,26,https://www.basketball-reference.com/teams/NOP/2016.html,NOP,47,845,11.6,.526,.377,.173,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,0.8,0.3,1.1,.064,-1.0,-1.5,-2.5,-2.5,-0.1
30,https://www.basketball-reference.com/players/b/bairsca01.html,Cameron Bairstow,C,25,https://www.basketball-reference.com/teams/CHI/2016.html,CHI,18,103,6.8,.391,.125,.200,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,-0.1,0.1,0.0,-0.004,-6.7,-0.9,-7.5,-7.5,-0.1
31,https://www.basketball-reference.com/players/b/barbole01.html,Leandro Barbosa,SG,33,https://www.basketball-reference.com/teams/GSW/2016.html,GSW,68,1079,11.7,.545,.297,.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,0.9,1.2,2.1,.092,-1.9,-0.1,-2.0,,0.0
32,https://www.basketball-reference.com/players/b/bareajo01.html,J.J. Barea,PG,31,https://www.basketball-reference.com/teams/DAL/2016.html,DAL,74,1667,15.4,.536,.366,.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,2.1,0.7,2.8,.082,1.6,-1.6,0.0,,0.9
33,https://www.basketball-reference.com/players/b/bargnan01.html,Andrea Bargnani,C,30,https://www.basketball-reference.com/teams/BRK/2016.html,BRK,46,634,11.8,.500,.057,.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,0.1,0.0,0.2,.013,-2.6,-2.6,-5.1,-5.1,-0.5
34,https://www.basketball-reference.com/players/b/barneha02.html,Harrison Barnes,SF,23,https://www.basketball-reference.com/teams/GSW/2016.html,GSW,66,2042,12.3,.559,.338,.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,3.1,1.9,4.9,.116,-0.2,-1.1,-1.3,,0.3
35,https://www.basketball-reference.com/players/b/barnema02.html,Matt Barnes,SF,35,https://www.basketball-reference.com/teams/MEM/2016.html,MEM,76,2190,11.7,.503,.534,.199,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,0.4,2.2,2.6,.056,-1.1,0.2,-0.9,,0.6
36,https://www.basketball-reference.com/players/b/bartowi01.html,Will Barton,SG,25,https://www.basketball-reference.com/teams/DEN/2016.html,DEN,82,2353,16.0,.535,.331,.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,2.4,1.9,4.3,.088,1.2,-0.4,0.8,,1.7
37,https://www.basketball-reference.com/players/b/bassbr01.html,Brandon Bass,PF,30,https://www.basketball-reference.com/teams/LAL/2016.html,LAL,66,1342,17.4,.619,.006,.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,3.4,0.7,4.1,.146,0.6,0.0,0.6,,0.9
38,https://www.basketball-reference.com/players/b/batumni01.html,Nicolas Batum,SF,27,https://www.basketball-reference.com/teams/CHO/2016.html,CHO,70,2448,15.6,.546,.457,.220,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,2.0,2.9,5.0,.097,1.1,0.1,1.2,,2.0
39,https://www.basketball-reference.com/players/b/bayleje01.html,Jerryd Bayless,SG,27,https://www.basketball-reference.com/teams/MIL/2016.html,MIL,52,1505,12.4,.568,.529,.206,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,1.8,0.6,2.4,.075,0.2,-1.0,-0.8,,0.4
40,https://www.basketball-reference.com/players/b/baynear01.html,Aron Baynes,C,29,https://www.basketball-reference.com/teams/DET/2016.html,DET,81,1233,17.8,.563,.005,.430,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,2.4,1.7,4.1,.158,-0.5,0.3,-0.2,,0.6
41,https://www.basketball-reference.com/players/b/bazemke01.html,Kent Bazemore,SF,26,https://www.basketball-reference.com/teams/ATL/2016.html,ATL,75,2083,13.4,.551,.421,.208,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,0.3,3.8,4.1,.094,-1.2,1.5,0.3,,1.2
42,https://www.basketball-reference.com/players/b/bealbr01.html,Bradley Beal,SG,22,https://www.basketball-reference.com/teams/WAS/2016.html,WAS,55,1708,15.5,.547,.339,.220,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,1.4,1.3,2.7,.076,1.2,-0.9,0.3,,1.0
43,https://www.basketball-reference.com/players/b/beaslmi01.html,Michael Beasley,PF,27,https://www.basketball-reference.com/teams/HOU/2016.html,HOU,20,363,22.5,.563,.044,.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,0.6,0.3,1.0,.128,2.2,-1.2,0.9,0.9,0.3
44,https://www.basketball-reference.com/players/b/belinma01.html,Marco Belinelli,SG,29,https://www.basketball-reference.com/teams/SAC/2016.html,SAC,68,1672,9.4,.500,.468,.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,0.2,0.3,0.5,.014,-2.1,-1.7,-3.8,,-0.8
45,https://www.basketball-reference.com/players/b/bennean01.html,Anthony Bennett,PF,22,https://www.basketball-reference.com/teams/TOR/2016.html,TOR,19,84,10.4,.446,.519,.370,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,0.0,0.1,0.1,.054,-2.9,-1.1,-3.9,-3.9,0.0
46,https://www.basketball-reference.com/players/b/beverpa01.html,Patrick Beverley,PG,27,https://www.basketball-reference.com/teams/HOU/2016.html,HOU,71,2041,13.0,.553,.522,.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,.102,0.0,0.1,0.2,,1.1
47,https://www.basketball-reference.com/players/b/biyombi01.html,Bismack Biyombo,C,23,https://www.basketball-reference.com/teams/TOR/2016.html,TOR,82,1808,14.9,.586,.003,.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,2.8,3.1,5.9,.156,-1.3,1.1,-0.2,,0.8
48,https://www.basketball-reference.com/players/b/bjeline01.html,Nemanja Bjelica,PF,27,https://www.basketball-reference.com/teams/MIN/2016.html,MIN,60,1075,11.2,.594,.532,.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,1.4,0.6,1.9,.087,-0.9,0.2,-0.7,,0.3
