Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
70,https://www.basketball-reference.com/players/b/budinch01.html,Chase Budinger,SF,25,https://www.basketball-reference.com/teams/MIN/2014.html,MIN,41,751,9.7,.505,.472,.154,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,0.3,0.6,0.9,.059,-1.7,-0.8,-2.5,-2.5,-0.1
71,https://www.basketball-reference.com/players/b/bullore01.html,Reggie Bullock,SF,22,https://www.basketball-reference.com/teams/LAC/2014.html,LAC,43,395,6.7,.460,.603,.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,.019,-2.5,-0.9,-3.3,-3.3,-0.1
72,https://www.basketball-reference.com/players/b/burketr01.html,Trey Burke,PG,21,https://www.basketball-reference.com/teams/UTA/2014.html,UTA,70,2262,12.6,.473,.375,.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,1.0,0.0,0.9,.020,0.0,-2.6,-2.6,,-0.4
73,https://www.basketball-reference.com/players/b/burksal01.html,Alec Burks,SG,22,https://www.basketball-reference.com/teams/UTA/2014.html,UTA,78,2193,15.8,.547,.172,.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,2.6,0.6,3.2,.070,0.2,-1.0,-0.8,,0.7
74,https://www.basketball-reference.com/players/b/butleca01.html,Caron Butler,SF,33,,,56,1419,12.2,.512,.461,.139,1.7,16.8,9.2,9.6,1.7,1.0,9.5,20.1,0.6,1.2,1.8,.062,-0.6,-0.8,-1.4,,0.2
74,https://www.basketball-reference.com/players/b/butleca01.html,Caron Butler,SF,33,https://www.basketball-reference.com/teams/MIL/2014.html,MIL,34,821,12.4,.494,.415,.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,-0.2,0.5,0.2,.014,-1.2,-1.7,-2.9,-2.9,-0.2
74,https://www.basketball-reference.com/players/b/butleca01.html,Caron Butler,SF,33,https://www.basketball-reference.com/teams/OKC/2014.html,OKC,22,598,11.9,.548,.548,.102,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,0.9,0.7,1.6,.127,0.2,0.5,0.7,0.7,0.4
75,https://www.basketball-reference.com/players/b/butleji01.html,Jimmy Butler,SG,24,https://www.basketball-reference.com/teams/CHI/2014.html,CHI,67,2591,13.5,.522,.346,.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,2.4,4.6,7.1,.131,-0.9,2.0,1.1,,2.0
76,https://www.basketball-reference.com/players/b/butlera01.html,Rasual Butler,SG,34,https://www.basketball-reference.com/teams/IND/2014.html,IND,50,378,12.2,.585,.564,.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,0.5,0.6,1.1,.138,0.0,0.3,0.3,0.3,0.2
77,https://www.basketball-reference.com/players/b/buyckdw01.html,Dwight Buycks,PG,24,https://www.basketball-reference.com/teams/TOR/2014.html,TOR,14,146,7.2,.414,.354,.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,-0.2,0.2,0.0,-0.009,-4.4,1.1,-3.4,-3.4,0.0
78,https://www.basketball-reference.com/players/b/bynuman01.html,Andrew Bynum,C,26,,,26,516,15.2,.456,.000,.218,11.4,20.3,15.8,9.7,0.6,4.7,12.1,24.3,-0.2,0.6,0.4,.038,-1.4,-0.5,-1.9,-1.9,0.0
78,https://www.basketball-reference.com/players/b/bynuman01.html,Andrew Bynum,C,26,https://www.basketball-reference.com/teams/CLE/2014.html,CLE,24,480,14.8,.456,.000,.207,10.7,18.9,14.7,9.6,0.6,4.9,11.9,23.4,-0.2,0.5,0.4,.036,-1.5,-0.4,-1.9,-1.9,0.0
78,https://www.basketball-reference.com/players/b/bynuman01.html,Andrew Bynum,C,26,https://www.basketball-reference.com/teams/IND/2014.html,IND,2,36,19.9,.459,.000,.318,19.7,38.8,29.7,11.2,0.0,2.1,13.8,36.9,0.0,0.1,0.0,.063,-0.3,-1.6,-1.9,-1.9,0.0
79,https://www.basketball-reference.com/players/b/bynumwi01.html,Will Bynum,PG,31,https://www.basketball-reference.com/teams/DET/2014.html,DET,56,1054,14.4,.502,.144,.281,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,0.6,0.4,1.0,.047,-0.6,-1.5,-2.1,-2.1,0.0
80,https://www.basketball-reference.com/players/c/calatni01.html,Nick Calathes,SG,24,https://www.basketball-reference.com/teams/MEM/2014.html,MEM,71,1173,12.3,.506,.196,.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,-0.1,1.6,1.5,.062,-2.5,1.6,-0.9,,0.3
81,https://www.basketball-reference.com/players/c/caldejo01.html,José Calderón,PG,32,https://www.basketball-reference.com/teams/DAL/2014.html,DAL,81,2468,15.2,.596,.568,.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,5.4,0.8,6.3,.122,2.5,-0.7,1.9,,2.4
82,https://www.basketball-reference.com/players/c/caldwke01.html,Kentavious Caldwell-Pope,SG,20,https://www.basketball-reference.com/teams/DET/2014.html,DET,80,1583,9.4,.483,.402,.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,.055,-3.0,0.5,-2.6,,-0.2
83,https://www.basketball-reference.com/players/c/canaais01.html,Isaiah Canaan,PG,22,https://www.basketball-reference.com/teams/HOU/2014.html,HOU,22,252,9.5,.506,.632,.333,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,0.0,0.2,0.2,.031,-2.5,-1.5,-4.0,-4.0,-0.1
84,https://www.basketball-reference.com/players/c/carrode01.html,DeMarre Carroll,SF,27,https://www.basketball-reference.com/teams/ATL/2014.html,ATL,73,2341,13.9,.575,.417,.220,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,.119,-0.1,0.7,0.7,,1.6
85,https://www.basketball-reference.com/players/c/cartevi01.html,Vince Carter,SG,37,https://www.basketball-reference.com/teams/DAL/2014.html,DAL,81,1973,15.9,.539,.457,.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3.0,1.3,4.3,.105,1.8,-0.5,1.2,,1.6
86,https://www.basketball-reference.com/players/c/cartemi01.html,Michael Carter-Williams,PG,22,https://www.basketball-reference.com/teams/PHI/2014.html,PHI,70,2414,15.5,.480,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,-0.8,2.1,1.3,.026,-0.2,-0.2,-0.5,,0.9
87,https://www.basketball-reference.com/players/c/casspom01.html,Omri Casspi,PF,25,https://www.basketball-reference.com/teams/HOU/2014.html,HOU,71,1283,12.9,.528,.429,.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,1.0,1.4,2.4,.091,-0.4,0.0,-0.3,,0.5
88,https://www.basketball-reference.com/players/c/chalmma01.html,Mario Chalmers,PG,27,https://www.basketball-reference.com/teams/MIA/2014.html,MIA,73,2178,14.0,.567,.404,.291,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,2.4,2.5,4.8,.106,-0.3,0.5,0.2,,1.2
89,https://www.basketball-reference.com/players/c/chandty01.html,Tyson Chandler,C,31,https://www.basketball-reference.com/teams/NYK/2014.html,NYK,55,1662,16.4,.615,.003,.481,10.9,27.0,18.7,5.5,1.2,3.4,15.4,12.9,3.1,1.9,4.9,.143,0.3,-0.1,0.2,,0.9
90,https://www.basketball-reference.com/players/c/chandwi01.html,Wilson Chandler,SF,26,https://www.basketball-reference.com/teams/DEN/2014.html,DEN,62,1927,12.4,.526,.476,.206,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,1.8,1.2,3.1,.076,-0.1,-0.6,-0.8,,0.6
91,https://www.basketball-reference.com/players/c/childjo01.html,Josh Childress,SF,30,https://www.basketball-reference.com/teams/NOP/2014.html,NOP,4,24,3.9,,,,0.0,14.7,7.3,10.7,2.2,0.0,100.0,1.9,0.0,0.0,0.0,-0.003,-4.1,0.9,-3.3,-3.3,0.0
92,https://www.basketball-reference.com/players/c/chrisdi01.html,Dionte Christmas,SF,27,https://www.basketball-reference.com/teams/PHO/2014.html,PHO,31,198,11.1,.489,.500,.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,0.2,0.1,0.3,.083,-0.5,-1.3,-1.8,-1.8,0.0
93,https://www.basketball-reference.com/players/c/clarkea01.html,Earl Clark,PF,26,,,54,768,9.1,.466,.467,.130,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,-0.4,0.8,0.3,.020,-2.5,-0.1,-2.6,-2.6,-0.1
93,https://www.basketball-reference.com/players/c/clarkea01.html,Earl Clark,PF,26,https://www.basketball-reference.com/teams/CLE/2014.html,CLE,45,698,8.6,.467,.483,.100,3.1,17.6,10.2,3.6,1.2,2.3,10.7,17.9,-0.5,0.7,0.2,.014,-2.5,-0.1,-2.6,-2.6,-0.1
93,https://www.basketball-reference.com/players/c/clarkea01.html,Earl Clark,PF,26,https://www.basketball-reference.com/teams/NYK/2014.html,NYK,9,70,13.5,.453,.286,.476,3.3,24.2,13.4,4.3,0.8,7.6,3.8,17.5,0.0,0.1,0.1,.080,-2.4,-0.4,-2.7,-2.7,0.0
94,https://www.basketball-reference.com/players/c/clarkia01.html,Ian Clark,SG,22,https://www.basketball-reference.com/teams/UTA/2014.html,UTA,23,172,9.2,.485,.463,.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,-0.2,0.1,-0.1,-0.025,-2.9,-0.3,-3.2,-3.2,-0.1
