Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,22,https://www.basketball-reference.com/teams/TOR/2013.html,TOR,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.7,0.4,1.1,.157,-1.0,1.0,0.1,0.1,0.2
2,https://www.basketball-reference.com/players/a/adrieje01.html,Jeff Adrien,PF,26,https://www.basketball-reference.com/teams/CHA/2013.html,CHA,52,713,13.4,.493,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1.0,.064,-2.1,-0.9,-3.0,-3.0,-0.2
3,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SF,27,https://www.basketball-reference.com/teams/ORL/2013.html,ORL,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,.042,-1.1,-1.8,-2.9,,-0.5
4,https://www.basketball-reference.com/players/a/akognjo01.html,Josh Akognon,PG,26,https://www.basketball-reference.com/teams/DAL/2013.html,DAL,3,9,15.3,.625,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,.196,-3.1,0.1,-3.0,-3.0,0.0
5,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,24,,,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,0.1,0.4,0.6,.070,-3.5,0.6,-2.9,-2.9,-0.1
5,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,24,https://www.basketball-reference.com/teams/HOU/2013.html,HOU,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,-0.1,0.3,0.2,.038,-5.6,0.6,-5.0,-5.0,-0.2
5,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,24,https://www.basketball-reference.com/teams/SAC/2013.html,SAC,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,0.2,0.2,0.4,.109,-1.0,0.5,-0.5,-0.5,0.1
6,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,27,https://www.basketball-reference.com/teams/POR/2013.html,POR,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,.124,1.7,-0.4,1.3,,2.3
7,https://www.basketball-reference.com/players/a/allenla01.html,Lavoy Allen,C,23,https://www.basketball-reference.com/teams/PHI/2013.html,PHI,79,1669,11.5,.474,.002,.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,.072,-3.0,-0.3,-3.3,,-0.6
8,https://www.basketball-reference.com/players/a/allenra02.html,Ray Allen,SG,37,https://www.basketball-reference.com/teams/MIA/2013.html,MIA,79,2035,14.7,.599,.510,.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,.126,1.1,-0.8,0.3,,1.2
