Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,24,https://www.basketball-reference.com/teams/NYK/2015.html,NYK,68,1287,11.9,.533,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1.0,0.7,1.7,.063,-2.1,-1.0,-3.1,,-0.3
2,https://www.basketball-reference.com/players/a/adamsjo01.html,Jordan Adams,SG,20,https://www.basketball-reference.com/teams/MEM/2015.html,MEM,30,248,12.8,.489,.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0.0,0.4,0.4,.073,-1.2,2.6,1.4,1.4,0.2
3,https://www.basketball-reference.com/players/a/adamsst01.html,Steven Adams,C,21,https://www.basketball-reference.com/teams/OKC/2015.html,OKC,70,1771,14.1,.549,.005,.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,.111,-1.5,0.2,-1.3,,0.3
4,https://www.basketball-reference.com/players/a/adrieje01.html,Jeff Adrien,PF,28,https://www.basketball-reference.com/teams/MIN/2015.html,MIN,17,215,14.2,.494,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,.087,-1.9,-0.6,-2.4,-2.4,0.0
5,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,29,,,78,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,.050,-1.4,-1.1,-2.5,,-0.3
5,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,29,https://www.basketball-reference.com/teams/DEN/2015.html,DEN,53,1750,11.7,.533,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,.050,-0.7,-1.2,-1.9,,0.1
5,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,29,https://www.basketball-reference.com/teams/POR/2015.html,POR,25,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,.049,-3.0,-0.8,-3.8,-3.8,-0.4
6,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,26,https://www.basketball-reference.com/teams/NOP/2015.html,NOP,68,957,19.9,.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,.159,-0.7,0.4,-0.3,,0.4
7,https://www.basketball-reference.com/players/a/aldemfu01.html,Furkan Aldemir,PF,23,https://www.basketball-reference.com/teams/PHI/2015.html,PHI,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,.122,-3.9,0.4,-3.6,-3.6,-0.2
8,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,26,https://www.basketball-reference.com/teams/NYK/2015.html,NYK,61,976,18.1,.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,0.8,1.4,2.2,.107,-0.8,1.1,0.3,,0.6
9,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,29,https://www.basketball-reference.com/teams/POR/2015.html,POR,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,.165,3.2,-0.3,2.9,,3.1
