Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/abrinal01.html,Álex Abrines,SG,24,https://www.basketball-reference.com/teams/OKC/2018.html,OKC,75,1134,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,.094,-1.9,0.4,-1.5,,0.1
2,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,27,https://www.basketball-reference.com/teams/BRK/2018.html,BRK,70,1359,8.2,.525,.800,.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,.036,-2.6,0.1,-2.5,,-0.2
3,https://www.basketball-reference.com/players/a/adamsst01.html,Steven Adams,C,24,https://www.basketball-reference.com/teams/OKC/2018.html,OKC,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3.0,9.7,.187,1.7,-0.6,1.1,,2.0
4,https://www.basketball-reference.com/players/a/adebaba01.html,Bam Adebayo,C,20,https://www.basketball-reference.com/teams/MIA/2018.html,MIA,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,.148,-1.1,0.7,-0.4,,0.6
5,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,32,https://www.basketball-reference.com/teams/ORL/2018.html,ORL,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,.009,-3.8,-1.5,-5.4,-5.4,-0.6
6,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,29,https://www.basketball-reference.com/teams/MIN/2018.html,MIN,21,49,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-7.5,-0.1
7,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,C,32,https://www.basketball-reference.com/teams/SAS/2018.html,SAS,75,2509,25.0,.570,.068,.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,.209,4.3,-0.4,3.9,,3.7
8,https://www.basketball-reference.com/players/a/allenja01.html,Jarrett Allen,C,19,https://www.basketball-reference.com/teams/BRK/2018.html,BRK,72,1441,17.5,.636,.038,.370,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,.141,-0.9,0.1,-0.8,,0.5
9,https://www.basketball-reference.com/players/a/allenka01.html,Kadeem Allen,PG,25,https://www.basketball-reference.com/teams/BOS/2018.html,BOS,18,107,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-7.7,-0.2
10,https://www.basketball-reference.com/players/a/allento01.html,Tony Allen,SF,36,https://www.basketball-reference.com/teams/NOP/2018.html,NOP,22,273,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,.017,-5.2,-0.3,-5.5,-5.5,-0.2
11,https://www.basketball-reference.com/players/a/aminual01.html,Al-Farouq Aminu,PF,27,https://www.basketball-reference.com/teams/POR/2018.html,POR,69,2072,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,.097,-0.7,1.1,0.4,,1.3
