Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/adrieje01.html,Jeff Adrien,PF,25,https://www.basketball-reference.com/teams/HOU/2012.html,HOU,8,63,11.2,.493,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,0.1,0.1,0.1,.106,-4.0,-0.2,-4.3,-4.3,0.0
2,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,26,https://www.basketball-reference.com/teams/DEN/2012.html,DEN,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,.121,1.4,-1.2,0.1,,1.1
3,https://www.basketball-reference.com/players/a/ahearbl01.html,Blake Ahearn,PG,27,https://www.basketball-reference.com/teams/UTA/2012.html,UTA,4,30,-7.3,.357,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,-0.2,0.0,-0.2,-0.315,-12.7,-6.8,-19.5,-19.5,-0.1
4,https://www.basketball-reference.com/players/a/alabiso01.html,Solomon Alabi,C,23,https://www.basketball-reference.com/teams/TOR/2012.html,TOR,14,122,14.2,.418,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,0.0,0.2,0.2,.083,-2.9,0.7,-2.2,-2.2,0.0
5,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,23,https://www.basketball-reference.com/teams/OKC/2012.html,OKC,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,0.3,0.4,0.6,.176,-1.3,2.2,1.0,1.0,0.1
6,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,26,https://www.basketball-reference.com/teams/POR/2012.html,POR,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,.169,3.4,-0.4,3.0,,2.5
7,https://www.basketball-reference.com/players/a/allenla01.html,Lavoy Allen,PF,22,https://www.basketball-reference.com/teams/PHI/2012.html,PHI,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,0.4,1.2,1.6,.124,-2.8,1.0,-1.7,-1.7,0.0
8,https://www.basketball-reference.com/players/a/allenra02.html,Ray Allen,SG,36,https://www.basketball-reference.com/teams/BOS/2012.html,BOS,46,1565,14.8,.607,.475,.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,.145,1.5,0.7,2.2,,1.6
9,https://www.basketball-reference.com/players/a/allento01.html,Tony Allen,SG,30,https://www.basketball-reference.com/teams/MEM/2012.html,MEM,58,1525,15.7,.541,.058,.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,.131,-0.6,2.3,1.7,,1.4
10,https://www.basketball-reference.com/players/a/almonmo01.html,Morris Almond,SG,26,https://www.basketball-reference.com/teams/WAS/2012.html,WAS,4,67,8.7,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,-0.1,0.1,0.0,.032,-6.0,4.2,-1.8,-1.8,0.0
