Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/adrieje01.html,Jeff Adrien,PF,24,https://www.basketball-reference.com/teams/GSW/2011.html,GSW,23,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0.1,0.1,0.2,.051,-3.3,-2.0,-5.3,-5.3,-0.2
2,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,25,https://www.basketball-reference.com/teams/DEN/2011.html,DEN,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,.128,1.7,-0.3,1.4,,2.0
3,https://www.basketball-reference.com/players/a/agerma01.html,Maurice Ager,SG,26,https://www.basketball-reference.com/teams/MIN/2011.html,MIN,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,0.0,0.0,0.0,-0.015,-0.9,0.2,-0.7,-0.7,0.0
4,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,22,,,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0.0,0.4,0.4,.052,-3.8,0.0,-3.8,-3.8,-0.2
4,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,22,https://www.basketball-reference.com/teams/DAL/2011.html,DAL,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,.084,-3.4,0.5,-2.9,-2.9,0.0
4,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,22,https://www.basketball-reference.com/teams/TOR/2011.html,TOR,24,265,12.0,.530,.267,.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,0.0,0.2,0.2,.042,-3.8,-0.2,-4.1,-4.1,-0.1
5,https://www.basketball-reference.com/players/a/alabiso01.html,Solomon Alabi,C,22,https://www.basketball-reference.com/teams/TOR/2011.html,TOR,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0.0,-0.2,-0.142,-6.0,-2.9,-8.9,-8.9,-0.1
6,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,22,https://www.basketball-reference.com/teams/OKC/2011.html,OKC,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0.0,0.2,0.2,.066,-5.6,1.6,-4.0,-4.0,-0.1
7,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,25,https://www.basketball-reference.com/teams/POR/2011.html,POR,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,.166,2.6,-0.5,2.1,,3.4
8,https://www.basketball-reference.com/players/a/allenma01.html,Malik Allen,PF,32,https://www.basketball-reference.com/teams/ORL/2011.html,ORL,18,178,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,.046,-5.8,0.5,-5.4,-5.4,-0.2
9,https://www.basketball-reference.com/players/a/allenra02.html,Ray Allen,SG,35,https://www.basketball-reference.com/teams/BOS/2011.html,BOS,80,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,.166,2.3,0.6,2.9,,3.6
10,https://www.basketball-reference.com/players/a/allento01.html,Tony Allen,SG,29,https://www.basketball-reference.com/teams/MEM/2011.html,MEM,72,1494,18.3,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,.152,0.1,3.5,3.6,,2.1
11,https://www.basketball-reference.com/players/a/aminual01.html,Al-Farouq Aminu,SF,20,https://www.basketball-reference.com/teams/LAC/2011.html,LAC,81,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,.022,-2.7,-0.1,-2.8,,-0.3
