Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"Jarnell Stokes, DEN",2,3.5,.798,51.5,0.0,14.3,15.9,15.6,15.8,31.53,31.53,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2614962,Jarnell Stokes
2,"Demetrius Jackson, BOS",5,3.4,.753,31.1,0.0,17.9,13.2,13.0,13.1,30.87,30.87,5.0,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3059273,Demetrius Jackson
3,"Russell Westbrook, OKC",81,34.6,.554,23.4,12.2,42.5,5.4,28.8,17.1,30.70,30.70,823.7,27.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
4,"Boban Marjanovic, DET",35,8.4,.606,5.1,5.7,23.7,16.5,32.5,24.2,29.70,29.70,83.5,2.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4376,Boban Marjanovic
5,"Kevin Durant, GS",62,33.4,.651,18.4,8.5,26.7,2.2,23.6,13.6,27.68,27.68,530.7,17.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
6,"Kawhi Leonard, SA",74,33.4,.610,13.3,7.9,29.6,3.7,15.7,9.8,27.62,27.62,632.4,21.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
7,"Anthony Davis, NO",75,36.1,.580,7.3,8.4,29.8,6.7,27.9,17.2,27.59,27.59,650.4,21.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
8,"James Harden, HOU",81,36.4,.613,27.6,14.1,35.1,3.5,20.9,12.2,27.43,27.43,744.7,24.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
9,"LeBron James, CLE",74,37.8,.619,25.6,12.0,30.1,4.0,20.7,12.6,27.11,27.11,692.7,23.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
10,"Isaiah Thomas, BOS",76,33.8,.625,18.5,8.7,32.8,1.9,7.0,4.4,26.59,26.59,597.9,19.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"Nikola Jokic, DEN",73,27.9,.640,24.2,11.5,24.0,11.6,27.2,19.5,26.40,26.40,453.3,15.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3112335,Nikola Jokic
12,"Chris Paul, LAC",61,31.5,.614,35.0,9.1,25.8,2.4,14.9,8.8,26.25,26.25,437.3,14.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
13,"Josh Huestis, OKC",2,15.5,.612,20.8,0.0,15.8,14.3,17.9,16.1,26.15,26.15,7.2,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2531364,Josh Huestis
14,"Giannis Antetokounmpo, MIL",80,35.6,.599,19.8,10.7,27.4,5.9,22.6,14.3,26.13,26.13,663.7,22.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3032977,Giannis Antetokounmpo
15,"Karl-Anthony Towns, MIN",82,37.0,.618,10.5,10.1,26.2,11.2,27.8,19.4,26.00,26.00,696.6,23.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3136195,Karl-Anthony Towns
16,"DeMarcus Cousins, NO/SAC",72,34.2,.562,14.3,11.6,31.0,7.0,29.2,18.2,25.84,25.84,527.4,17.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4258,DeMarcus Cousins
