Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
18,"Andre Drummond, DET",81,32.3,.599,3.3,10.4,15.6,17.5,27.7,22.3,22.65,22.65,470.9,15.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6585,Andre Drummond
19,"Al Horford, ATL",29,33.0,.588,12.7,10.7,22.7,8.0,21.4,14.8,22.08,22.08,164.2,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
20,"Dwyane Wade, MIA",54,32.9,.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,22.06,306.3,10.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
21,"LaMarcus Aldridge, POR",69,36.2,.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,21.84,385.7,12.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
22,"Goran Dragic, PHX",76,35.1,.604,23.1,11.0,24.1,2.9,7.4,5.2,21.43,21.43,435.4,14.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3423,Goran Dragic
23,"Tim Duncan, SA",74,29.2,.535,15.4,11.2,23.5,8.6,28.3,18.8,21.40,21.40,318.8,10.6,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
24,"Dwight Howard, HOU",71,33.7,.600,9.1,15.9,22.0,11.4,27.9,20.1,21.36,21.36,384.8,12.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
25,"Nikola Pekovic, MIN",54,30.8,.582,5.3,8.9,21.1,13.1,17.6,15.3,20.72,20.72,251.2,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3453,Nikola Pekovic
26,"Isaiah Thomas, SAC",72,34.7,.574,23.4,11.0,26.1,2.1,7.5,4.7,20.54,20.54,355.6,11.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
27,"Kyle Lowry, TOR",79,36.2,.567,28.9,9.6,23.4,3.6,11.5,7.5,20.20,20.20,392.9,13.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
28,"Paul George, IND",80,36.2,.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,20.16,417.9,13.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4251,Paul George
29,"Kyrie Irving, CLE",71,35.2,.533,21.6,9.5,27.8,2.3,9.5,5.8,20.14,20.14,340.4,11.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6442,Kyrie Irving
30,"Mike Conley, MEM",73,33.5,.545,25.3,8.6,24.7,2.0,8.4,5.2,20.07,20.07,331.0,11.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Manu Ginobili, SA",68,22.8,.590,25.7,12.2,24.2,2.3,12.0,7.3,20.06,20.06,221.2,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
,"Joakim Noah, CHI",80,35.3,.531,27.4,12.3,18.9,11.6,24.5,18.2,20.06,20.06,398.3,13.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3224,Joakim Noah
33,"Kenneth Faried, DEN",80,27.2,.573,8.1,11.4,19.7,11.8,22.2,16.9,19.90,19.90,273.1,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6433,Kenneth Faried
34,"Paul Millsap, ATL",74,33.5,.545,14.2,11.3,23.7,7.2,21.9,14.6,19.83,19.83,308.4,10.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3015,Paul Millsap
35,"Serge Ibaka, OKC",81,32.9,.576,6.7,9.7,18.0,10.0,19.6,15.0,19.66,19.66,324.8,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
36,"Eric Bledsoe, PHX",43,32.9,.578,22.6,13.8,24.4,2.1,13.8,8.0,19.62,19.62,182.2,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4238,Eric Bledsoe
37,"John Wall, WSH",82,36.3,.524,28.5,11.7,27.7,1.5,11.7,6.5,19.61,19.61,383.0,12.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
38,"Kawhi Leonard, SA",66,29.1,.602,14.6,8.8,17.0,4.6,18.9,12.1,19.43,19.43,256.3,8.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
39,"Jordan Hill, LAL",72,20.8,.579,7.4,10.3,17.6,13.8,24.3,19.0,19.39,19.39,176.6,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3994,Jordan Hill
40,"Pau Gasol, LAL",60,31.4,.522,15.0,10.5,24.4,7.0,25.9,16.4,19.34,19.34,245.8,8.2,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"Maalik Wayns, LAC",2,4.5,.500,50.0,0.0,11.6,0.0,23.9,12.3,19.30,19.30,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6638,Maalik Wayns
42,"David Lee, GS",69,33.2,.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,19.21,263.2,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
43,"Terrence Jones, HOU",76,27.3,.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,19.14,236.9,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6597,Terrence Jones
44,"Cole Aldrich, NY",46,7.2,.620,13.2,16.9,12.2,12.8,33.8,23.0,19.11,19.11,41.9,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4267,Cole Aldrich
,"Chris Bosh, MIA",79,32.0,.597,6.8,9.7,20.0,5.1,20.3,13.0,19.11,19.11,321.5,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
46,"Mason Plumlee, BKN",70,18.2,.670,11.4,14.7,15.6,9.3,19.6,14.5,19.09,19.09,144.4,4.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2488653,Mason Plumlee
47,"Ty Lawson, DEN",62,35.8,.553,31.4,11.6,23.5,1.9,8.5,5.2,19.02,19.02,266.0,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4000,Ty Lawson
48,"Derrick Favors, UTAH",73,30.2,.556,8.3,11.8,19.3,10.1,23.7,16.7,19.01,19.01,276.3,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
49,"Tony Parker, SA",68,29.4,.555,24.9,9.7,25.9,1.0,7.5,4.4,19.00,19.00,238.5,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1015,Tony Parker
,"Jannero Pargo, CHA",29,8.3,.554,25.9,12.9,27.9,0.5,8.9,4.7,19.00,19.00,28.9,1.0,http://insider.espn.go.com/nba/players/hollinger?playerId=1821,Jannero Pargo
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Ryan Anderson, NO",22,36.1,.572,4.1,4.8,20.9,9.5,11.3,10.4,18.89,18.89,87.7,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3412,Ryan Anderson
,"Amar'e Stoudemire, NY",65,22.6,.596,4.4,11.8,21.3,8.7,17.2,12.8,18.89,18.89,161.6,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
53,"Andray Blatche, BKN",73,22.2,.532,11.3,11.1,23.4,8.9,19.9,14.4,18.85,18.85,199.2,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2746,Andray Blatche
,"Nikola Vucevic, ORL",57,31.8,.536,10.7,11.5,20.0,11.5,27.6,19.5,18.85,18.85,223.0,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6478,Nikola Vucevic
55,"Patty Mills, SA",81,18.9,.588,16.3,6.9,21.2,2.6,9.6,6.2,18.80,18.80,177.7,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4004,Patty Mills
56,"Damian Lillard, POR",82,35.8,.568,21.3,9.0,24.7,1.3,9.2,5.3,18.69,18.69,337.1,11.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6606,Damian Lillard
57,"Chris Andersen, MIA",72,19.4,.683,4.5,12.6,12.1,12.1,21.7,17.1,18.56,18.56,147.0,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1135,Chris Andersen
58,"James Johnson, MEM",52,18.4,.552,21.2,12.6,19.7,7.4,13.2,10.3,18.50,18.50,99.9,3.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3999,James Johnson
59,"Markieff Morris, PHX",81,26.6,.564,11.3,11.5,21.6,7.3,18.0,12.6,18.48,18.48,224.1,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6461,Markieff Morris
60,"Drew Gooden, WSH",22,18.0,.591,8.0,9.1,18.1,10.7,23.0,16.7,18.44,18.44,40.9,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1711,Drew Gooden
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Tyreke Evans, NO",72,28.2,.504,23.1,11.1,26.7,4.3,15.4,9.8,18.43,18.43,239.9,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3983,Tyreke Evans
62,"DeMar DeRozan, TOR",79,38.2,.532,14.4,8.1,26.6,2.0,11.3,6.6,18.42,18.42,356.8,11.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3978,DeMar DeRozan
63,"Rudy Gay, SAC/TOR",73,34.7,.540,11.7,12.6,25.2,5.0,14.7,9.8,18.40,18.40,298.3,9.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3005,Rudy Gay
64,"Zach Randolph, MEM",79,34.2,.510,11.6,10.6,24.6,11.6,23.3,17.4,18.37,18.37,277.4,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
65,"Kris Humphries, BOS",69,19.9,.552,10.2,9.8,17.8,10.2,24.0,16.9,18.28,18.28,157.8,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2433,Kris Humphries
66,"Marc Gasol, MEM",59,33.4,.526,18.8,9.7,21.2,5.0,20.5,12.7,18.27,18.27,225.4,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
67,"DeAndre Jordan, LAC",82,35.0,.630,8.4,14.0,11.3,13.3,29.3,21.6,18.19,18.19,325.1,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
68,"Greg Monroe, DET",82,32.8,.531,11.3,11.0,20.6,9.9,21.6,15.4,18.16,18.16,267.4,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
69,"Tony Mitchell, DET",21,3.8,.540,7.6,15.2,12.5,19.7,16.0,18.0,18.14,18.14,7.8,0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2583664,Tony Mitchell
70,"John Henson, MIL",70,26.5,.543,12.0,12.1,19.1,10.2,20.8,15.3,17.97,17.97,204.0,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6592,John Henson
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"Deron Williams, BKN",64,32.2,.564,29.1,10.6,21.7,0.9,8.9,4.9,17.69,17.69,205.7,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2798,Deron Williams
,"Chris Copeland, IND",41,6.5,.621,11.6,9.0,21.9,3.1,10.1,6.8,17.69,17.69,28.4,0.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6635,Chris Copeland
73,"Robin Lopez, POR",82,31.8,.605,8.0,9.3,13.0,13.6,15.3,14.5,17.68,17.68,275.2,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3447,Robin Lopez
74,"Marcin Gortat, WSH",81,32.8,.568,11.5,10.5,16.9,8.7,25.1,16.7,17.66,17.66,279.7,9.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2758,Marcin Gortat
75,"Jon Leuer, MEM",49,13.1,.566,6.4,8.6,19.5,6.8,22.4,14.6,17.65,17.65,58.9,2.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6452,Jon Leuer
76,"David West, IND",80,30.9,.533,15.9,9.5,20.6,5.7,18.3,12.3,17.55,17.55,223.1,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
77,"Jeff Adrien, MIL/CHA",53,18.1,.553,9.4,9.6,18.4,11.8,24.8,18.2,17.49,17.49,85.9,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4335,Jeff Adrien
78,"Jamal Crawford, LAC",69,30.3,.556,14.8,8.9,25.5,1.9,6.4,4.2,17.39,17.39,215.2,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=165,Jamal Crawford
79,"DeJuan Blair, DAL",78,15.6,.557,11.8,13.0,18.1,13.3,21.6,17.5,17.33,17.33,121.9,4.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3965,DeJuan Blair
80,"Jrue Holiday, NO",34,33.6,.505,31.4,12.3,24.1,2.8,11.8,7.2,17.19,17.19,105.6,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"Jeff Teague, ATL",79,32.2,.541,26.9,11.8,25.2,1.6,7.9,4.7,17.16,17.16,233.6,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4015,Jeff Teague
82,"Andrew Bogut, GS",67,26.4,.610,18.3,15.8,11.9,11.4,29.7,20.7,17.11,17.11,171.8,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2747,Andrew Bogut
83,"Chris Kaman, LAL",39,18.9,.537,11.4,14.6,24.3,7.8,25.4,16.6,17.06,17.06,71.0,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1982,Chris Kaman
84,"Anderson Varejao, CLE",65,27.7,.527,19.2,9.9,14.3,11.4,28.2,19.6,17.05,17.05,173.4,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2419,Anderson Varejao
85,"Hilton Armstrong, GS",15,6.5,.480,13.5,16.2,13.6,21.8,31.0,26.5,16.98,16.98,7.9,0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2984,Hilton Armstrong
86,"Samuel Dalembert, DAL",80,20.2,.605,6.7,15.9,13.5,14.4,24.2,19.4,16.88,16.88,151.3,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=991,Samuel Dalembert
87,"Monta Ellis, DAL",82,36.9,.532,21.4,12.0,25.1,1.5,9.8,5.6,16.83,16.83,285.4,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2751,Monta Ellis
88,"Kemba Walker, CHA",73,35.8,.499,23.4,8.9,25.0,1.7,11.6,6.6,16.82,16.82,227.1,7.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6479,Kemba Walker
89,"Paul Pierce, BKN",75,28.0,.595,15.1,13.0,20.8,1.5,18.3,9.9,16.81,16.81,197.5,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=662,Paul Pierce
90,"Michael Beasley, MIA",55,15.1,.559,8.4,11.7,22.9,4.9,20.5,13.0,16.80,16.80,78.2,2.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3418,Michael Beasley
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"Timofey Mozgov, DEN",82,21.6,.584,7.4,14.5,17.3,10.4,21.9,16.1,16.77,16.77,162.9,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4298,Timofey Mozgov
92,"Nene , WSH",53,29.4,.530,15.6,11.9,22.7,4.7,17.3,10.9,16.67,16.67,120.4,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=1713,Nene 
93,"JJ Redick, LAC",35,28.2,.598,13.8,7.4,20.3,1.0,7.1,4.2,16.64,16.64,90.5,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3024,JJ Redick
,"Thaddeus Young, PHI",79,34.4,.512,10.5,9.5,22.5,6.3,12.8,9.5,16.64,16.64,208.6,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3244,Thaddeus Young
95,"Brandon Knight, MIL",72,33.3,.523,19.8,10.6,26.2,2.1,10.3,6.1,16.59,16.59,200.3,6.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6448,Brandon Knight
96,"Gorgui Dieng, MIN",60,13.6,.534,10.8,15.0,15.8,13.4,26.9,20.0,16.58,16.58,73.0,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2534781,Gorgui Dieng
,"Tiago Splitter, SA",59,21.5,.572,15.3,12.8,16.5,11.4,20.5,16.1,16.58,16.58,113.4,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3233,Tiago Splitter
98,"Chris Wright, MIL",8,15.8,.577,9.7,9.7,15.7,8.8,9.4,9.1,16.56,16.56,11.4,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6501,Chris Wright
99,"Gerald Green, PHX",82,28.4,.585,8.9,10.6,21.8,2.3,10.9,6.6,16.55,16.55,210.4,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2761,Gerald Green
100,"Tobias Harris, ORL",61,30.3,.542,8.3,7.9,20.2,5.4,20.6,13.0,16.54,16.54,166.9,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6440,Tobias Harris
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Kosta Koufos, MEM",80,16.9,.514,6.4,11.1,18.0,14.0,22.7,18.4,16.54,16.54,119.6,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3444,Kosta Koufos
,"Reggie Williams, OKC",3,5.7,.611,8.3,16.7,26.2,0.0,0.0,0.0,16.54,16.54,1.5,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4229,Reggie Williams
103,"Kyle O'Quinn, ORL",69,17.2,.526,13.8,13.8,17.3,9.5,25.2,17.3,16.52,16.52,89.1,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6615,Kyle O'Quinn
104,"Tyson Chandler, NY",55,30.2,.615,11.3,13.6,12.0,10.9,27.0,18.7,16.48,16.48,145.8,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=984,Tyson Chandler
105,"Jared Sullinger, BOS",74,27.6,.497,9.6,9.7,22.6,13.0,20.6,16.7,16.42,16.42,177.2,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6624,Jared Sullinger
106,"Kevin Martin, MIN",68,32.0,.553,8.8,7.6,23.4,1.7,8.7,5.1,16.37,16.37,190.8,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2394,Kevin Martin
107,"JJ Hickson, DEN",69,26.9,.521,9.5,12.7,19.4,11.9,24.8,18.3,16.27,16.27,157.3,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3437,JJ Hickson
,"Jeremy Evans, UTAH",66,18.3,.549,9.8,8.9,14.3,11.1,18.7,14.8,16.27,16.27,104.1,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4295,Jeremy Evans
109,"D.J. Augustin, CHI/TOR",71,27.3,.569,24.9,10.0,22.6,0.9,6.7,3.8,16.22,16.22,151.0,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3415,D.J. Augustin
,"Gordon Hayward, UTAH",77,36.4,.520,22.1,11.7,22.7,2.5,14.0,8.0,16.22,16.22,238.9,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Darren Collison, LAC",80,25.9,.575,24.3,10.8,19.4,2.6,7.3,5.0,16.21,16.21,160.8,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3973,Darren Collison
112,"Jonas Valanciunas, TOR",81,28.2,.579,5.8,13.8,16.9,11.5,25.1,18.2,16.17,16.17,189.6,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6477,Jonas Valanciunas
113,"Henry Sims, CLE/PHI",46,19.0,.535,12.4,9.8,14.6,12.5,17.2,14.7,16.14,16.14,72.4,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6647,Henry Sims
114,"DJ Stephens, MIL",3,5.0,.470,0.0,0.0,20.3,7.4,31.6,19.1,16.12,16.12,1.3,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2489563,DJ Stephens
115,"Nick Young, LAL",64,28.3,.564,7.9,7.9,24.1,1.7,8.1,4.9,16.11,16.11,151.6,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3243,Nick Young
116,"Arron Afflalo, ORL",73,35.0,.574,16.0,9.4,21.9,1.4,10.2,5.8,16.09,16.09,212.8,7.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3187,Arron Afflalo
,"Taj Gibson, CHI",82,28.7,.524,7.2,11.9,21.2,9.8,17.1,13.5,16.09,16.09,161.0,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3986,Taj Gibson
118,"Ramon Sessions, MIL/CHA",83,26.7,.539,23.7,10.3,21.5,1.9,8.6,5.2,16.04,16.04,166.5,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3231,Ramon Sessions
119,"C.J. Miles, CLE",51,19.3,.569,9.7,8.2,20.6,2.0,9.9,5.9,16.03,16.03,81.2,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2778,C.J. Miles
120,"Troy Daniels, HOU",5,15.0,.677,12.8,7.7,18.5,0.0,5.6,3.0,16.01,16.01,6.2,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2489530,Troy Daniels
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
121,"Ed Davis, MEM",63,15.2,.542,6.8,10.1,16.5,11.4,20.9,16.1,15.99,15.99,64.0,2.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4259,Ed Davis
122,"Vince Carter, DAL",81,24.4,.539,17.4,8.9,21.9,4.0,12.6,8.3,15.97,15.97,161.2,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=136,Vince Carter
123,"Chandler Parsons, HOU",74,37.6,.565,19.5,9.4,18.6,2.9,12.8,8.2,15.90,15.90,224.3,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6466,Chandler Parsons
124,"Jimmer Fredette, CHI/SAC",49,10.6,.578,18.4,13.8,25.9,1.7,9.7,5.7,15.88,15.88,37.8,1.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6434,Jimmer Fredette
125,"Trevor Ariza, WSH",77,35.4,.590,15.1,10.5,16.8,4.1,16.3,10.1,15.87,15.87,218.4,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2426,Trevor Ariza
126,"Nicolas Batum, POR",82,36.0,.589,27.3,13.5,16.8,4.3,17.8,11.1,15.86,15.86,236.7,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3416,Nicolas Batum
127,"Alec Burks, UTAH",78,28.1,.547,15.6,11.0,22.8,3.0,10.7,6.8,15.82,15.82,157.8,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6429,Alec Burks
128,"Spencer Hawes, CLE/PHI",80,30.9,.554,17.6,12.7,19.8,5.6,24.2,14.6,15.77,15.77,190.6,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3211,Spencer Hawes
