Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"DeAndre Liggins, MIA",1,1.0,1.000,0.0,0.0,41.3,130.5,0.0,62.8,129.47,129.47,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6453,DeAndre Liggins
2,"Tony Mitchell, MIL",3,3.3,.600,16.7,0.0,21.8,11.1,0.0,5.7,31.00,31.00,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2489010,Tony Mitchell
3,"Kevin Durant, OKC",81,38.5,.635,16.1,10.3,31.2,2.2,18.6,10.8,29.90,29.90,903.8,30.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
4,"LeBron James, MIA",77,37.7,.649,20.6,11.4,29.1,3.6,18.9,11.5,29.40,29.40,818.5,27.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
5,"Kevin Love, MIN",77,36.3,.591,15.2,8.7,27.7,8.5,29.5,18.7,26.97,26.97,645.8,21.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
6,"Anthony Davis, NO",67,35.2,.582,7.4,7.7,23.2,10.0,23.3,16.6,26.54,26.54,529.3,17.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
7,"DeMarcus Cousins, SAC",71,32.4,.555,10.8,13.1,30.7,10.6,30.5,20.4,26.18,26.18,534.5,17.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4258,DeMarcus Cousins
8,"Chris Paul, LAC",62,35.0,.580,36.2,7.9,25.0,2.0,11.4,6.9,25.98,25.98,485.2,16.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
9,"Brook Lopez, BKN",17,31.4,.629,4.9,8.7,24.1,8.8,14.1,11.5,25.50,25.50,118.6,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
10,"Russell Westbrook, OKC",46,30.7,.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,24.74,289.6,9.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"Carmelo Anthony, NY",77,38.7,.561,10.4,8.5,30.1,5.6,19.4,12.3,24.50,24.50,623.0,20.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
12,"Stephen Curry, GS",78,36.5,.610,26.7,11.8,28.2,1.8,10.9,6.4,24.13,24.13,557.6,18.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
13,"Blake Griffin, LAC",80,35.8,.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,23.98,533.3,17.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
14,"Dirk Nowitzki, DAL",80,32.9,.603,12.2,6.6,24.9,1.8,20.0,10.9,23.68,23.68,477.7,15.9,http://insider.espn.go.com/nba/players/hollinger?playerId=609,Dirk Nowitzki
15,"Brandan Wright, DAL",58,18.6,.695,7.0,7.9,15.8,11.0,15.1,13.1,23.60,23.60,194.5,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3242,Brandan Wright
16,"James Harden, HOU",73,38.0,.618,20.2,12.0,26.8,2.6,10.7,6.9,23.51,23.51,539.2,18.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
17,"Al Jefferson, CHA",73,35.0,.532,8.7,7.0,26.7,6.9,28.3,17.5,22.75,22.75,462.9,15.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
