Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
18,"Manu Ginobili, SA",80,30.3,.581,22.3,9.9,24.8,2.1,11.8,7.1,21.78,21.78,408.6,13.6,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
19,"LaMarcus Aldridge, POR",81,39.6,.549,8.8,7.9,23.7,10.1,17.2,13.5,21.57,21.57,482.6,16.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
20,"Kevin Martin, HOU",80,32.5,.601,10.2,9.5,27.2,1.2,10.0,5.6,21.46,21.46,425.7,14.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2394,Kevin Martin
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
21,"Deron Williams, NJ/UTAH",65,37.9,.566,32.5,11.2,25.9,1.9,10.9,6.3,21.19,21.19,374.8,12.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2798,Deron Williams
22,"Andrew Bynum, LAL",54,27.8,.606,11.2,11.4,16.3,13.3,24.7,19.2,21.14,21.14,235.9,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2748,Andrew Bynum
23,"Steve Nash, PHX",75,33.3,.601,41.9,13.0,23.0,1.8,10.2,6.0,20.81,20.81,365.5,12.2,http://insider.espn.go.com/nba/players/hollinger?playerId=592,Steve Nash
24,"Al Horford, ATL",77,35.1,.587,19.2,8.6,18.5,8.2,23.7,16.0,20.79,20.79,411.0,13.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
25,"Kevin Garnett, BOS",71,31.3,.575,14.2,9.6,20.1,4.9,28.7,17.5,20.67,20.67,303.7,10.1,http://insider.espn.go.com/nba/players/hollinger?playerId=261,Kevin Garnett
26,"David West, NO",70,35.0,.558,11.0,9.5,23.4,7.6,18.7,13.1,20.51,20.51,329.5,11.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
27,"Nene , DEN",75,30.5,.657,13.4,12.0,17.1,7.5,20.8,14.4,20.49,20.49,338.2,11.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1713,Nene 
28,"Tony Parker, SA",78,32.4,.569,26.8,10.4,24.9,1.4,9.3,5.5,20.44,20.44,356.2,11.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1015,Tony Parker
29,"Al Jefferson, UTAH",82,35.9,.528,8.8,6.2,22.0,9.6,23.2,16.3,20.20,20.20,421.3,14.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
30,"Yao Ming, HOU",5,18.2,.579,7.3,12.7,22.5,8.7,24.9,16.8,19.91,19.91,12.6,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1722,Yao Ming
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Paul Millsap, UTAH",76,34.3,.578,12.7,9.9,20.8,7.5,19.4,13.4,19.83,19.83,324.0,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3015,Paul Millsap
32,"Hamed Haddadi, MEM",31,5.4,.550,5.9,13.1,19.2,16.9,31.6,24.2,19.78,19.78,23.0,0.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3478,Hamed Haddadi
33,"Paul Pierce, BOS",80,34.7,.620,15.8,10.4,21.8,1.6,16.6,9.5,19.76,19.76,383.4,12.8,http://insider.espn.go.com/nba/players/hollinger?playerId=662,Paul Pierce
34,"Lamar Odom, LAL",82,32.2,.589,17.9,10.0,18.8,7.8,22.2,15.2,19.50,19.50,315.0,10.5,http://insider.espn.go.com/nba/players/hollinger?playerId=617,Lamar Odom
35,"Stephen Curry, GS",74,33.6,.595,23.9,12.5,23.8,2.3,10.9,6.5,19.46,19.46,314.3,10.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
36,"Devin Ebanks, LAL",20,5.9,.507,2.9,8.7,23.3,14.9,11.1,13.0,19.44,19.44,15.8,0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4256,Devin Ebanks
,"Chris Bosh, MIA",77,36.3,.569,9.3,8.9,21.0,6.4,20.0,13.6,19.44,19.44,331.1,11.0,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
38,"Brook Lopez, NJ",82,35.2,.549,7.1,9.6,24.7,7.8,12.3,10.0,19.33,19.33,376.3,12.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
39,"Josh Smith, ATL",77,34.4,.540,15.6,12.1,22.8,6.2,23.7,15.0,19.31,19.31,308.3,10.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2411,Josh Smith
40,"Ryan Anderson, ORL",64,22.3,.591,7.7,7.2,18.3,10.8,18.1,14.5,19.09,19.09,161.2,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3412,Ryan Anderson
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"Chris Andersen, DEN",45,16.3,.636,8.3,10.4,12.0,12.2,22.1,17.3,19.03,19.03,92.1,3.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1135,Chris Andersen
42,"Ramon Sessions, CLE",81,26.3,.559,26.9,11.4,23.8,2.4,11.6,6.9,19.01,19.01,255.1,8.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3231,Ramon Sessions
43,"Lou Williams, PHI",75,23.3,.540,19.3,7.8,26.2,2.1,7.7,4.9,18.93,18.93,206.9,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
44,"Carlos Boozer, CHI",59,31.9,.542,11.6,12.0,24.9,8.3,26.3,17.6,18.90,18.90,208.0,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1703,Carlos Boozer
,"Jeremy Evans, UTAH",49,9.4,.678,13.8,10.9,13.8,9.3,16.1,12.6,18.90,18.90,58.0,1.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4295,Jeremy Evans
46,"Joakim Noah, CHI",48,32.8,.579,15.7,13.2,15.8,13.9,22.8,18.5,18.83,18.83,193.5,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3224,Joakim Noah
47,"Chauncey Billups, DEN/NY",72,32.1,.617,25.1,11.5,20.7,1.3,8.1,4.7,18.78,18.78,268.1,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=63,Chauncey Billups
48,"Monta Ellis, GS",80,40.3,.536,18.0,10.1,26.5,1.5,8.5,4.9,18.69,18.69,394.7,13.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2751,Monta Ellis
49,"Elton Brand, PHI",81,34.7,.553,9.1,7.6,17.8,9.7,18.0,13.9,18.57,18.57,296.4,9.9,http://insider.espn.go.com/nba/players/hollinger?playerId=91,Elton Brand
50,"Eric Gordon, LAC",56,37.7,.566,16.3,10.1,25.0,2.5,6.6,4.5,18.56,18.56,254.2,8.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3431,Eric Gordon
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Thaddeus Young, PHI",82,26.0,.566,7.4,9.0,19.8,8.3,15.2,11.7,18.46,18.46,244.2,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3244,Thaddeus Young
,"Rodney Stuckey, DET",70,31.2,.544,23.9,10.3,24.0,3.7,8.6,6.1,18.46,18.46,243.0,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3235,Rodney Stuckey
53,"Tyson Chandler, DAL",74,27.8,.697,4.9,13.4,12.5,12.2,26.6,19.7,18.45,18.45,241.1,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=984,Tyson Chandler
54,"Luis Scola, HOU",74,32.6,.538,11.6,9.3,23.7,6.9,21.6,14.2,18.43,18.43,249.4,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1781,Luis Scola
55,"Tony Allen, MEM",72,20.8,.562,13.6,11.3,18.6,5.5,9.9,7.7,18.40,18.40,176.2,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2367,Tony Allen
56,"Tyrus Thomas, CHA",41,21.0,.536,6.0,13.4,22.2,9.1,22.5,15.8,18.25,18.25,86.7,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3032,Tyrus Thomas
57,"Chris Wilcox, DET",57,17.5,.587,9.6,9.6,17.4,11.2,22.7,16.7,18.09,18.09,97.8,3.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1731,Chris Wilcox
58,"Greg Monroe, DET",80,27.8,.575,12.5,9.7,14.3,13.0,20.4,16.5,18.07,18.07,217.9,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
59,"Ty Lawson, DEN",80,26.3,.593,29.0,10.5,19.3,3.8,7.6,5.7,17.99,17.99,219.2,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4000,Ty Lawson
60,"Mike  Harris, HOU",4,4.0,.515,10.2,10.2,22.2,14.1,21.3,17.7,17.95,17.95,1.8,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3081,Mike  Harris
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Andre Miller, POR",81,32.7,.529,32.6,11.4,21.4,4.3,9.9,7.0,17.89,17.89,272.6,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=557,Andre Miller
,"Steve Novak, DAL/SA",30,7.2,.737,3.9,5.2,18.0,2.2,12.7,7.6,17.89,17.89,23.7,0.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3018,Steve Novak
,"Kris Humphries, NJ",74,27.9,.555,9.8,12.1,15.8,12.5,32.2,22.1,17.89,17.89,196.5,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2433,Kris Humphries
,"Danny Granger, IND",79,35.0,.554,10.8,11.0,24.5,3.5,13.5,8.5,17.89,17.89,304.5,10.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2760,Danny Granger
65,"Rudy Gay, MEM",54,39.9,.548,12.1,10.7,21.6,4.5,14.2,9.3,17.88,17.88,237.1,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3005,Rudy Gay
66,"David Lee, GS",73,36.1,.549,15.5,11.3,19.8,9.1,21.9,15.4,17.86,17.86,285.5,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
67,"Marcin Gortat, ORL/PHX",80,25.4,.594,8.3,9.7,11.4,8.5,27.4,18.0,17.83,17.83,219.2,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2758,Marcin Gortat
68,"Serge Ibaka, OKC",82,27.0,.579,2.8,9.0,13.9,11.7,20.8,16.4,17.70,17.70,205.1,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
69,"Amir Johnson, TOR",72,25.7,.608,11.3,9.6,14.2,11.8,17.8,14.7,17.67,17.67,170.7,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2769,Amir Johnson
70,"Earl Boykins, MIL",57,15.1,.526,24.3,8.9,23.2,2.0,5.6,3.7,17.62,17.62,85.1,2.8,http://insider.espn.go.com/nba/players/hollinger?playerId=87,Earl Boykins
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"Shaquille O'Neal, BOS",37,20.3,.659,7.6,16.4,17.6,8.3,20.1,14.6,17.44,17.44,76.8,2.6,http://insider.espn.go.com/nba/players/hollinger?playerId=614,Shaquille O'Neal
72,"JaVale McGee, WSH",79,27.8,.566,4.5,12.1,14.7,11.2,22.2,16.5,17.42,17.42,223.3,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3452,JaVale McGee
73,"Andre Iguodala, PHI",67,36.9,.530,29.1,9.5,19.1,2.8,15.2,9.0,17.30,17.30,250.5,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2386,Andre Iguodala
74,"Devin Harris, NJ/UTAH",71,31.7,.545,29.6,12.2,24.7,0.9,8.2,4.5,17.22,17.22,209.2,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2382,Devin Harris
75,"DeJuan Blair, SA",81,21.4,.524,9.2,13.6,18.0,14.8,22.9,18.9,17.20,17.20,165.5,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3965,DeJuan Blair
76,"Rajon Rondo, BOS",68,37.2,.495,44.1,13.6,19.7,4.5,9.7,7.2,17.11,17.11,230.6,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3026,Rajon Rondo
77,"Shawn Marion, DAL",80,28.2,.551,9.6,11.3,19.3,9.1,19.2,14.3,17.09,17.09,221.5,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=510,Shawn Marion
78,"Baron Davis, CLE/LAC",58,28.4,.506,30.4,11.3,27.0,2.5,8.6,5.5,17.05,17.05,148.8,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=194,Baron Davis
79,"Andray Blatche, WSH",64,33.9,.497,10.3,12.3,23.5,9.3,18.7,13.8,16.93,16.93,175.9,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2746,Andray Blatche
80,"Antawn Jamison, CLE",56,32.9,.516,8.1,6.7,23.4,5.2,18.5,11.7,16.91,16.91,148.7,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=385,Antawn Jamison
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"Marc Gasol, MEM",81,31.9,.580,17.1,12.5,16.0,7.1,19.4,13.2,16.88,16.88,242.4,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
82,"Andrew Bogut, MIL",65,35.3,.496,12.0,11.4,18.0,9.8,27.1,18.3,16.77,16.77,211.4,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2747,Andrew Bogut
,"Patrick Patterson, HOU",52,16.7,.574,11.5,8.7,14.8,11.2,14.9,13.1,16.77,16.77,68.2,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4264,Patrick Patterson
84,"Raymond Felton, DEN/NY",75,36.5,.524,31.9,11.3,18.7,2.0,9.2,5.6,16.68,16.68,232.0,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2753,Raymond Felton
,"Andrei Kirilenko, UTAH",64,31.2,.567,19.8,12.1,17.0,6.0,13.8,9.9,16.68,16.68,184.3,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=434,Andrei Kirilenko
86,"Marcus Thornton, NO/SAC",73,24.3,.525,12.1,8.3,23.1,3.9,13.2,8.5,16.52,16.52,151.5,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4017,Marcus Thornton
87,"Kyle Lowry, HOU",75,34.2,.550,31.7,10.0,18.9,3.9,9.7,6.8,16.51,16.51,210.9,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
,"Hakim Warrick, PHX",80,17.7,.581,9.5,10.9,18.7,7.2,17.0,12.1,16.51,16.51,105.8,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2794,Hakim Warrick
89,"Andrea Bargnani, TOR",66,35.7,.533,7.4,9.5,25.6,3.6,13.9,8.6,16.50,16.50,207.1,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2987,Andrea Bargnani
90,"Joe Johnson, ATL",72,35.5,.517,19.3,8.3,24.7,2.8,10.9,6.9,16.46,16.46,227.2,7.6,http://insider.espn.go.com/nba/players/hollinger?playerId=1007,Joe Johnson
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"JR Smith, DEN",79,24.9,.550,15.1,8.6,20.4,2.7,15.8,9.4,16.43,16.43,174.3,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2444,JR Smith
,"Tyler Hansbrough, IND",70,21.9,.529,4.9,9.0,20.6,10.6,15.9,13.2,16.43,16.43,112.9,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3991,Tyler Hansbrough
93,"Ray Allen, BOS",80,36.1,.615,15.5,8.3,17.9,2.3,9.0,5.8,16.42,16.42,255.5,8.5,http://insider.espn.go.com/nba/players/hollinger?playerId=9,Ray Allen
,"James Harden, OKC",82,26.7,.598,15.8,9.5,18.1,2.3,11.0,6.8,16.42,16.42,183.6,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
95,"Jose Calderon, TOR",68,30.9,.522,43.4,10.6,18.7,1.7,9.9,5.7,16.38,16.38,168.9,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2806,Jose Calderon
96,"Brad Miller, HOU",60,16.9,.566,27.0,10.1,16.9,4.9,19.9,12.4,16.37,16.37,87.4,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=556,Brad Miller
97,"Gerald Wallace, POR/CHA",71,37.9,.548,12.9,11.3,19.3,4.9,21.0,12.8,16.28,16.28,232.2,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1026,Gerald Wallace
98,"Anthony Randolph, MIN/NY",40,14.8,.505,8.5,13.7,25.0,8.0,22.7,15.1,16.22,16.22,41.6,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3455,Anthony Randolph
99,"Chuck Hayes, HOU",74,28.1,.554,24.8,10.6,12.7,11.9,20.7,16.3,16.20,16.20,173.7,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2834,Chuck Hayes
100,"Josh McRoberts, IND",72,22.2,.608,22.0,13.6,14.2,7.6,18.8,13.3,16.08,16.08,109.1,3.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3220,Josh McRoberts
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Tiago Splitter, SA",60,12.3,.550,8.4,10.3,15.9,11.6,19.8,15.8,16.02,16.02,57.5,1.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3233,Tiago Splitter
102,"Emeka Okafor, NO",72,31.8,.584,5.3,14.9,14.0,12.2,24.3,18.2,16.00,16.00,184.4,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2399,Emeka Okafor
,"Charlie Villanueva, DET",76,21.9,.553,5.5,7.6,20.9,3.5,18.8,10.8,16.00,16.00,111.8,3.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2792,Charlie Villanueva
104,"Brandon Bass, ORL",76,26.1,.571,6.3,10.8,17.6,8.1,16.7,12.5,15.99,15.99,132.7,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2745,Brandon Bass
105,"Nazr Mohammed, OKC/CHA",75,17.1,.538,3.9,11.9,15.0,13.2,21.2,17.2,15.98,15.98,102.7,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=568,Nazr Mohammed
106,"Drew Gooden, MIL",35,24.6,.487,9.4,9.2,22.4,9.6,22.9,16.1,15.97,15.97,57.4,1.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1711,Drew Gooden
,"D.J. Augustin, CHA",82,33.6,.541,28.6,8.9,21.0,1.7,8.3,4.9,15.97,15.97,204.3,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3415,D.J. Augustin
108,"Roy Hibbert, IND",81,27.7,.507,12.2,13.6,21.7,9.1,21.0,15.1,15.96,15.96,179.6,6.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3436,Roy Hibbert
109,"Jason Terry, DAL",82,31.3,.545,19.8,9.9,23.1,1.1,5.7,3.5,15.93,15.93,207.8,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=841,Jason Terry
110,"Brandan Wright, GS/NJ",37,10.2,.540,7.7,8.9,16.1,9.2,18.2,13.6,15.91,15.91,24.9,0.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3242,Brandan Wright
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Mike Conley, MEM",81,35.5,.521,29.9,10.0,19.7,1.3,9.0,5.1,15.90,15.90,209.9,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
112,"Corey Maggette, MIL",67,20.9,.573,9.2,13.9,25.1,3.6,16.8,10.0,15.89,15.89,112.6,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=497,Corey Maggette
113,"John Wall, WSH",69,37.8,.494,29.0,13.2,24.0,1.5,12.8,6.9,15.85,15.85,188.7,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
114,"Ed Davis, TOR",65,24.6,.583,7.7,9.3,12.1,12.1,22.3,17.1,15.83,15.83,103.5,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4259,Ed Davis
,"Richard Hamilton, DET",55,27.2,.520,17.0,8.8,24.6,1.9,8.7,5.1,15.83,15.83,119.1,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=294,Richard Hamilton
116,"Darrell Arthur, MEM",80,20.1,.534,6.4,10.7,19.6,8.5,17.0,12.7,15.77,15.77,102.5,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3413,Darrell Arthur
117,"Chris Kaman, LAC",32,26.2,.495,9.1,11.5,22.4,7.2,24.1,15.7,15.72,15.72,64.0,2.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1982,Chris Kaman
118,"Danilo Gallinari, DEN/NY",62,33.9,.597,10.4,8.3,18.5,3.2,13.4,8.3,15.71,15.71,154.3,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
119,"Beno Udrih, SAC",79,34.6,.587,26.6,9.7,16.9,1.7,9.6,5.5,15.70,15.70,191.7,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2448,Beno Udrih
120,"JJ Hickson, CLE",80,28.2,.503,6.7,12.7,22.8,10.8,25.0,17.7,15.67,15.67,140.5,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3437,JJ Hickson
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
,"Jared Dudley, PHX",82,26.1,.598,11.9,8.5,15.3,6.0,11.2,8.6,15.67,15.67,165.0,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3201,Jared Dudley
,"Darren Collison, IND",79,29.9,.534,25.7,12.4,21.4,1.9,8.6,5.3,15.67,15.67,164.3,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3973,Darren Collison
123,"Brandon Jennings, MIL",63,34.4,.493,20.5,9.8,24.3,2.2,10.6,6.3,15.66,15.66,150.7,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3997,Brandon Jennings
124,"Wesley Matthews, POR",82,33.6,.582,11.6,9.7,19.8,2.0,9.7,5.7,15.60,15.60,197.6,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4032,Wesley Matthews
125,"Luol Deng, CHI",82,39.1,.549,13.6,9.2,19.5,4.4,12.8,8.7,15.58,15.58,243.1,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2429,Luol Deng
126,"Michael Beasley, MIN",73,32.3,.510,9.1,11.3,26.2,5.4,14.1,9.6,15.54,15.54,142.4,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3418,Michael Beasley
127,"Craig Smith, LAC",48,12.2,.592,11.0,11.7,17.7,8.7,14.7,11.7,15.50,15.50,35.0,1.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3031,Craig Smith
128,"Jrue Holiday, PHI",82,35.4,.525,28.9,11.8,20.6,2.7,10.5,6.6,15.49,15.49,194.4,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
