Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"Orien Greene, NJ",3,1.7,.521,25.8,0.0,26.3,0.0,0.0,0.0,33.05,33.05,1.6,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2762,Orien Greene
2,"LeBron James, MIA",79,38.8,.594,21.2,10.9,29.7,3.3,18.7,11.4,27.34,27.34,770.0,25.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
3,"Dwight Howard, ORL",78,37.6,.616,5.8,15.2,24.3,12.6,30.6,21.8,26.13,26.13,680.3,22.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
4,"Dwyane Wade, MIA",76,37.1,.581,15.4,10.5,29.1,5.5,14.4,10.2,25.65,25.65,638.3,21.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
5,"Kevin Love, MIN",73,35.8,.593,11.6,9.8,21.3,13.7,34.2,23.6,24.39,24.39,502.4,16.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
6,"Kobe Bryant, LAL",82,33.9,.548,15.4,9.6,33.0,3.5,13.3,8.5,23.94,23.94,557.4,18.6,http://insider.espn.go.com/nba/players/hollinger?playerId=110,Kobe Bryant
7,"Chris Paul, NO",80,36.0,.578,38.0,8.6,22.2,1.6,12.3,6.9,23.76,23.76,548.4,18.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
8,"Kevin Durant, OKC",78,38.9,.589,9.4,9.6,27.8,2.3,17.7,10.3,23.70,23.70,598.4,19.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
9,"Russell Westbrook, OKC",82,34.7,.538,25.2,11.9,30.8,5.2,10.3,7.8,23.63,23.63,536.8,17.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
10,"Derrick Rose, CHI",81,37.4,.550,22.7,10.1,31.3,3.2,9.4,6.4,23.62,23.62,569.8,19.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3456,Derrick Rose
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"Dirk Nowitzki, DAL",73,34.3,.612,11.2,8.1,25.5,2.4,20.8,12.0,23.52,23.52,449.2,15.0,http://insider.espn.go.com/nba/players/hollinger?playerId=609,Dirk Nowitzki
12,"Pau Gasol, LAL",82,37.0,.589,15.8,8.2,20.6,10.3,20.5,15.6,23.33,23.33,536.1,17.9,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
13,"Amar'e Stoudemire, NY",78,36.8,.565,9.2,11.4,27.7,7.8,17.6,12.7,22.78,22.78,483.0,16.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
14,"Zach Randolph, MEM",75,36.3,.552,9.7,9.0,23.0,14.2,26.0,20.1,22.67,22.67,454.1,15.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
15,"Tim Duncan, SA",76,28.4,.537,15.9,9.6,21.2,9.3,26.8,18.3,21.94,21.94,364.8,12.2,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
16,"Blake Griffin, LAC",82,38.0,.549,14.1,10.1,25.6,10.2,26.9,18.6,21.93,21.93,484.5,16.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
17,"Carmelo Anthony, DEN/NY",77,35.7,.557,10.1,9.4,29.1,5.0,18.3,11.8,21.82,21.82,464.6,15.5,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
