Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
17,"Pau Gasol, CHI",78,34.4,.550,12.5,9.4,23.2,9.2,27.6,18.6,22.73,22.73,449.2,15.0,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
18,"Tim Duncan, SA",77,28.9,.560,17.5,9.9,21.0,8.8,26.7,17.9,22.69,22.69,371.9,12.4,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
19,"Kawhi Leonard, SA",64,31.8,.567,13.5,8.1,21.4,4.8,20.6,12.9,22.09,22.09,351.8,11.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
20,"Derrick Favors, UTAH",74,30.8,.558,8.6,9.3,22.3,10.0,20.7,15.4,21.86,21.86,352.4,11.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
21,"Marc Gasol, MEM",81,33.2,.558,17.6,10.1,23.5,4.9,21.8,13.4,21.73,21.73,446.4,14.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
22,"Nikola Vucevic, ORL",74,34.2,.548,9.2,9.3,23.8,10.4,26.0,18.1,21.62,21.62,416.0,13.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6478,Nikola Vucevic
23,"Rudy Gobert, UTAH",82,26.3,.627,14.2,14.5,13.4,14.3,27.2,20.7,21.60,21.60,354.2,11.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3032976,Rudy Gobert
24,"Carmelo Anthony, NY",40,35.7,.531,10.9,7.9,29.9,5.7,16.0,10.7,21.58,21.58,236.1,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
25,"Kyrie Irving, CLE",75,36.4,.583,19.7,9.4,25.5,2.3,7.5,5.0,21.57,21.57,430.8,14.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6442,Kyrie Irving
26,"George Hill, IND",43,29.5,.579,24.8,7.8,23.6,2.2,13.3,7.8,21.52,21.52,199.0,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3438,George Hill
27,"Andre Drummond, DET",82,30.5,.504,4.2,9.3,20.4,18.3,30.1,24.0,21.50,21.50,406.9,13.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6585,Andre Drummond
28,"Dwyane Wade, MIA",62,31.8,.534,17.0,11.9,32.6,3.6,9.6,6.7,21.44,21.44,321.8,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
29,"Al Horford, ATL",76,30.5,.563,17.8,7.3,20.9,6.7,19.8,13.4,21.43,21.43,374.8,12.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
30,"Jimmy Butler, CHI",65,38.7,.583,14.9,6.5,20.6,5.1,11.2,8.2,21.32,21.32,405.8,13.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6430,Jimmy Butler
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Greg Monroe, DET",69,31.0,.549,11.0,11.5,22.7,11.2,25.1,17.9,21.26,21.26,311.4,10.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
32,"DeAndre Jordan, LAC",82,34.4,.638,6.7,12.0,12.3,16.2,32.4,24.5,21.05,21.05,440.0,14.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
33,"Klay Thompson, GS",77,31.9,.591,12.5,8.4,25.5,1.2,9.4,5.4,20.86,20.86,379.5,12.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6475,Klay Thompson
34,"Damian Lillard, POR",82,35.7,.560,22.4,9.8,26.3,1.8,11.8,6.9,20.79,20.79,427.6,14.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6606,Damian Lillard
35,"Jeff Teague, ATL",73,30.5,.566,29.4,11.7,25.2,1.6,7.7,4.7,20.64,20.64,320.5,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4015,Jeff Teague
36,"Isaiah Thomas, BOS/PHX",67,25.8,.580,20.6,10.4,31.3,2.1,7.7,4.9,20.63,20.63,248.1,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
37,"Jonas Valanciunas, TOR",80,26.2,.623,4.2,11.8,17.3,11.8,26.3,19.1,20.60,20.60,312.9,10.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6477,Jonas Valanciunas
38,"Jeremy Evans, UTAH",38,7.0,.636,14.6,5.6,12.5,11.4,19.4,15.4,20.58,20.58,40.0,1.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4295,Jeremy Evans
39,"Brandan Wright, BOS/DAL/PHX",75,19.3,.660,8.4,7.0,13.9,0.0,0.0,0.0,20.44,20.44,193.3,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3242,Brandan Wright
40,"Amar'e Stoudemire, DAL/NY",59,21.1,.595,6.5,11.2,23.2,9.8,20.4,15.0,20.40,20.40,182.2,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"Enes Kanter, OKC/UTAH",75,28.5,.564,4.5,11.8,22.2,14.7,20.5,17.6,20.36,20.36,310.9,10.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6447,Enes Kanter
42,"Gordon Hayward, UTAH",76,34.4,.567,17.3,11.4,25.4,2.4,14.0,8.2,20.24,20.24,380.6,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
43,"Tyson Chandler, DAL",75,30.5,.697,11.3,14.1,11.9,14.1,27.4,20.7,20.12,20.12,324.7,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=984,Tyson Chandler
44,"Paul Millsap, ATL",73,32.7,.565,15.2,11.3,22.1,6.9,20.0,13.6,20.10,20.10,306.8,10.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3015,Paul Millsap
45,"Shayne Whittington, IND",20,5.4,.547,9.5,7.9,22.1,10.3,19.3,14.8,20.01,20.01,13.7,0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2491063,Shayne Whittington
,"Alexis Ajinca, NO",68,14.1,.595,9.6,14.1,19.6,12.4,25.0,18.7,20.01,20.01,134.4,4.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3410,Alexis Ajinca
47,"Ed Davis, LAL",79,23.3,.594,13.3,8.2,13.9,13.3,23.1,18.0,20.00,20.00,233.5,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4259,Ed Davis
48,"Shabazz Muhammad, MIN",38,22.8,.556,8.2,6.5,23.4,8.1,12.4,10.2,19.99,19.99,122.6,4.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2993875,Shabazz Muhammad
49,"John Wall, WSH",79,35.9,.523,32.7,12.6,26.8,1.5,12.8,7.3,19.92,19.92,377.8,12.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
50,"Lou Williams, TOR",80,25.2,.564,12.0,7.4,25.2,1.4,7.3,4.3,19.90,19.90,282.9,9.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Chris Bosh, MIA",44,35.4,.548,9.2,9.2,25.9,3.6,20.0,12.0,19.87,19.87,215.2,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
52,"Rudy Gay, SAC",68,35.4,.555,14.5,10.6,25.4,4.8,13.7,9.4,19.76,19.76,332.7,11.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3005,Rudy Gay
53,"Al Jefferson, CHA",65,30.6,.500,8.9,5.4,24.1,5.3,25.5,15.1,19.75,19.75,272.1,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
54,"Brandon Jennings, DET",41,28.6,.522,28.1,9.3,27.1,1.9,8.0,4.8,19.74,19.74,153.1,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3997,Brandon Jennings
55,"Marreese Speights, GS",76,15.9,.546,8.2,9.3,26.3,10.1,18.7,14.5,19.58,19.58,161.8,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3460,Marreese Speights
56,"Zach Randolph, MEM",71,32.5,.538,11.2,11.4,22.5,11.2,25.8,18.5,19.54,19.54,276.4,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
57,"Alexey Shved, HOU/NY/PHI",42,18.3,.541,19.1,8.6,22.9,0.0,0.0,0.0,19.51,19.51,97.5,3.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3882,Alexey Shved
58,"Kyle Lowry, TOR",70,34.5,.527,25.9,9.5,25.3,2.6,13.1,7.8,19.33,19.33,300.2,10.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
59,"Dwight Howard, HOU",41,29.8,.596,7.1,16.3,21.4,10.0,28.9,19.5,19.31,19.31,159.0,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
60,"Dirk Nowitzki, DAL",77,29.6,.560,10.1,5.8,22.9,2.1,19.9,11.0,19.26,19.26,264.2,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=609,Dirk Nowitzki
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Tyler Zeller, BOS",82,21.1,.594,12.7,8.5,18.4,9.1,20.5,14.7,19.01,19.01,217.2,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6631,Tyler Zeller
62,"Tiago Splitter, SA",52,19.8,.601,15.8,12.2,17.2,10.2,17.4,13.9,18.98,18.98,128.8,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3233,Tiago Splitter
63,"Kevin Love, CLE",75,33.8,.562,12.1,8.8,20.4,6.5,26.3,16.6,18.89,18.89,279.4,9.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
64,"Jrue Holiday, NO",40,32.6,.522,29.4,9.8,23.7,2.8,9.0,5.9,18.82,18.82,152.0,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
65,"Jarnell Stokes, MEM",19,6.6,.578,6.6,11.6,18.7,14.6,16.3,15.4,18.66,18.66,13.5,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2614962,Jarnell Stokes
66,"Mike Conley, MEM",70,31.8,.558,24.6,10.2,23.4,1.5,9.2,5.4,18.61,18.61,252.6,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
67,"Ty Lawson, DEN",75,35.5,.526,36.2,9.3,22.1,1.6,8.1,4.7,18.50,18.50,298.5,9.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4000,Ty Lawson
68,"Eric Bledsoe, PHX",81,34.6,.555,24.6,13.7,23.4,2.8,13.9,8.3,18.47,18.47,312.3,10.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4238,Eric Bledsoe
69,"Kenneth Faried, DEN",75,27.8,.548,8.3,11.0,18.9,12.1,22.9,17.3,18.46,18.46,216.7,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6433,Kenneth Faried
70,"Terrence Jones, HOU",33,26.9,.567,8.7,9.0,17.0,9.7,17.6,13.7,18.31,18.31,90.4,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6597,Terrence Jones
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"Marcin Gortat, WSH",82,29.9,.587,9.2,9.5,16.1,8.5,24.1,16.5,18.28,18.28,281.1,9.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2758,Marcin Gortat
72,"Cole Aldrich, NY",61,16.0,.513,16.2,12.7,17.4,11.6,28.9,20.0,18.16,18.16,110.1,3.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4267,Cole Aldrich
73,"John Henson, MIL",67,18.3,.578,10.7,15.8,16.7,11.7,17.4,14.5,18.08,18.08,137.0,4.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6592,John Henson
,"Mike Muscala, ATL",40,12.6,.608,12.0,10.1,15.3,12.2,14.8,13.5,18.08,18.08,49.3,1.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2490089,Mike Muscala
75,"Mason Plumlee, BKN",82,21.3,.570,9.2,13.1,17.7,11.3,21.6,16.5,18.04,18.04,193.6,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2488653,Mason Plumlee
76,"Jared Sullinger, BOS",58,27.0,.503,13.7,8.0,22.2,10.1,20.9,15.4,17.93,17.93,150.3,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6624,Jared Sullinger
,"Nikola Mirotic, CHI",82,20.2,.556,10.4,9.5,21.3,4.3,21.8,13.3,17.93,17.93,158.7,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6459,Nikola Mirotic
,"James Johnson, TOR",70,19.6,.617,15.3,12.7,16.5,5.1,16.5,10.8,17.93,17.93,131.4,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3999,James Johnson
79,"David Lee, GS",49,18.4,.541,17.3,9.9,18.5,10.0,20.3,15.3,17.90,17.90,86.4,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
80,"James Michael McAdoo, GS",15,9.1,.564,3.2,9.5,17.2,12.2,16.8,14.6,17.79,17.79,14.9,0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2594818,James Michael McAdoo
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"Tyreke Evans, NO",79,34.1,.508,25.3,11.9,26.2,3.5,14.1,8.8,17.77,17.77,292.0,9.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3983,Tyreke Evans
82,"Anderson Varejao, CLE",26,24.5,.580,12.1,12.1,17.0,10.4,20.1,15.3,17.74,17.74,67.7,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2419,Anderson Varejao
83,"Kobe Bryant, LAL",35,34.5,.477,17.2,11.2,33.6,2.3,16.5,9.1,17.69,17.69,129.5,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=110,Kobe Bryant
84,"Jeff Withey, NO",37,7.0,.570,10.1,11.0,16.1,10.1,17.9,14.0,17.67,17.67,27.3,0.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2333797,Jeff Withey
85,"Kemba Walker, CHA",62,34.2,.486,20.9,6.6,25.0,1.8,9.9,5.7,17.66,17.66,210.7,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6479,Kemba Walker
86,"Darren Collison, SAC",45,34.8,.575,25.3,11.3,20.8,1.4,8.7,5.2,17.53,17.53,152.5,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3973,Darren Collison
87,"Charlie Villanueva, DAL",64,10.6,.534,4.5,6.6,24.0,4.8,19.3,12.1,17.50,17.50,60.7,2.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2792,Charlie Villanueva
88,"Goran Dragic, MIA/PHX",78,33.8,.577,21.5,10.6,21.6,3.5,8.3,5.9,17.47,17.47,274.4,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3423,Goran Dragic
89,"DeMar DeRozan, TOR",60,35.0,.510,13.7,9.0,26.7,2.3,12.9,7.6,17.46,17.46,218.2,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3978,DeMar DeRozan
90,"Chris Kaman, POR",74,18.9,.537,8.5,14.1,20.7,11.7,25.2,18.5,17.38,17.38,141.4,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1982,Chris Kaman
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"Gorgui Dieng, MIN",73,30.0,.573,16.4,14.1,14.4,11.3,20.8,15.9,17.26,17.26,218.1,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2534781,Gorgui Dieng
92,"Reggie Jackson, DET/OKC",77,29.5,.511,26.6,10.7,29.9,2.6,12.9,7.8,17.24,17.24,211.2,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6443,Reggie Jackson
93,"Brandon Knight, MIL/PHX",63,32.3,.543,21.9,12.6,25.8,1.6,12.0,6.8,17.17,17.17,187.3,6.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6448,Brandon Knight
94,"Jordan Clarkson, LAL",59,25.0,.528,21.3,9.9,22.5,4.0,10.5,7.1,16.94,16.94,130.9,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2528426,Jordan Clarkson
95,"Ersan Ilyasova, MIL",58,22.7,.554,7.9,6.4,20.2,7.0,17.0,12.0,16.90,16.90,106.3,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2767,Ersan Ilyasova
96,"Luis Scola, IND",81,20.5,.515,11.2,10.0,21.2,9.3,25.6,17.5,16.84,16.84,132.2,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1781,Luis Scola
97,"Jerome Adolphus Jordan, BKN",44,8.7,.609,8.8,14.8,14.8,15.3,15.5,15.4,16.82,16.82,35.5,1.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4280,Jerome Adolphus Jordan
98,"Danilo Gallinari, DEN",59,24.2,.563,10.5,7.2,20.2,2.3,14.7,8.3,16.81,16.81,134.2,4.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
99,"Tobias Harris, ORL",68,34.8,.551,9.6,8.9,20.6,3.4,17.3,10.3,16.76,16.76,221.3,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6440,Tobias Harris
100,"Kevin Martin, MIN",39,33.4,.549,10.2,8.7,24.9,1.6,11.1,6.2,16.73,16.73,121.0,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2394,Kevin Martin
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Andrea Bargnani, NY",29,27.1,.527,9.3,8.5,24.4,4.6,14.4,9.3,16.71,16.71,71.6,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2987,Andrea Bargnani
,"Jamal Crawford, LAC",64,26.6,.532,13.2,7.7,25.5,1.2,6.9,4.1,16.71,16.71,157.8,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=165,Jamal Crawford
103,"Nikola Pekovic, MIN",31,26.3,.502,6.0,9.3,21.2,12.1,21.0,16.4,16.69,16.69,74.0,2.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3453,Nikola Pekovic
104,"Mitch McGary, OKC",32,15.2,.550,6.2,13.6,17.6,11.9,24.4,18.2,16.64,16.64,37.2,1.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2991041,Mitch McGary
105,"Serge Ibaka, OKC",64,33.1,.550,5.6,9.8,17.6,7.0,18.1,12.6,16.60,16.60,160.9,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
106,"Timofey Mozgov, CLE/DEN",81,25.3,.594,6.6,13.9,16.7,11.0,21.4,16.1,16.59,16.59,182.9,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4298,Timofey Mozgov
,"Monta Ellis, DAL",80,33.7,.509,16.3,9.8,26.3,1.4,6.4,3.9,16.59,16.59,245.1,8.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2751,Monta Ellis
108,"Danny Green, SA",81,28.5,.596,15.1,8.9,16.3,2.7,13.9,8.4,16.55,16.55,208.9,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3988,Danny Green
109,"Carlos Boozer, LAL",71,23.8,.517,9.5,9.2,22.0,7.0,25.2,15.7,16.50,16.50,126.2,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1703,Carlos Boozer
110,"Draymond Green, GS",79,31.5,.540,22.8,10.4,16.6,5.1,22.4,14.0,16.43,16.43,220.2,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6589,Draymond Green
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Brandon Bass, BOS",82,23.5,.557,10.8,8.6,18.2,7.8,14.9,11.3,16.39,16.39,140.8,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2745,Brandon Bass
112,"Chandler Parsons, DAL",66,33.1,.567,13.8,8.2,19.2,3.2,13.0,8.1,16.37,16.37,191.4,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6466,Chandler Parsons
113,"Robin Lopez, POR",59,27.8,.574,8.9,11.8,14.2,12.7,13.1,12.9,16.26,16.26,138.4,4.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3447,Robin Lopez
114,"JJ Redick, LAC",78,30.9,.622,10.9,7.5,19.3,1.1,6.6,3.9,16.23,16.23,205.9,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3024,JJ Redick
115,"Jordan Hill, LAL",70,26.8,.494,9.7,10.0,21.2,9.9,23.4,16.4,16.21,16.21,156.8,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3994,Jordan Hill
,"Festus Ezeli, GS",46,11.0,.580,4.2,14.9,15.8,13.3,19.7,16.6,16.21,16.21,42.2,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6587,Festus Ezeli
117,"Manu Ginobili, SA",70,22.7,.544,26.0,13.7,23.5,2.0,12.8,7.5,16.20,16.20,135.1,4.5,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
118,"Wesley Matthews, POR",60,33.7,.586,13.4,7.8,18.6,2.1,9.5,5.9,16.15,16.15,170.5,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4032,Wesley Matthews
119,"Chris Andersen, MIA",60,18.9,.622,12.6,11.8,11.4,8.2,23.2,15.9,16.12,16.12,78.1,2.6,http://insider.espn.go.com/nba/players/hollinger?playerId=1135,Chris Andersen
120,"Taj Gibson, CHI",62,27.3,.545,9.7,10.5,16.4,10.7,14.6,12.7,16.10,16.10,116.2,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3986,Taj Gibson
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
121,"David West, IND",66,28.7,.508,20.3,10.9,20.2,6.4,19.7,13.1,16.06,16.06,128.8,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
122,"Lester Hudson, LAC",5,11.2,.571,21.0,12.6,14.5,2.1,13.8,8.0,16.02,16.02,4.6,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3996,Lester Hudson
123,"Bernard James, DAL",16,9.9,.593,8.5,12.7,11.1,12.5,14.6,13.5,16.00,16.00,12.7,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6593,Bernard James
124,"Victor Oladipo, ORL",72,35.7,.527,17.1,11.8,23.9,2.2,11.2,6.6,15.98,15.98,210.6,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2527963,Victor Oladipo
125,"Aron Baynes, SA",70,16.0,.618,7.4,13.7,16.1,11.2,20.7,16.1,15.97,15.97,89.9,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2968439,Aron Baynes
126,"DeMarre Carroll, ATL",70,31.3,.603,12.7,8.1,15.5,5.3,13.8,9.7,15.94,15.94,177.9,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3970,DeMarre Carroll
,"Derrick Rose, CHI",51,30.0,.493,18.9,12.1,30.7,2.6,8.7,5.7,15.94,15.94,112.9,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3456,Derrick Rose
