Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"Sim Bhullar, SAC",3,1.0,.500,33.3,0.0,30.6,0.0,36.5,18.9,44.40,44.40,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2596402,Sim Bhullar
2,"Eric Moreland, SAC",3,0.7,1.000,0.0,0.0,19.7,0.0,54.8,28.4,40.93,40.93,0.9,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2531352,Eric Moreland
3,"Tyrus Thomas, MEM",2,3.5,1.064,34.7,0.0,12.9,0.0,0.0,0.0,31.48,31.48,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3032,Tyrus Thomas
4,"Anthony Davis, NO",68,36.1,.591,9.1,5.8,25.9,8.0,24.1,16.1,30.89,30.89,710.6,23.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
5,"Russell Westbrook, OKC",67,34.4,.536,21.9,11.2,38.2,5.9,16.7,11.4,29.12,29.12,622.6,20.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
6,"Stephen Curry, GS",80,32.7,.638,26.3,10.6,28.5,2.4,11.4,7.0,28.06,28.06,665.2,22.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
7,"Kevin Durant, OKC",27,33.8,.633,15.1,10.2,28.0,1.9,18.7,10.4,27.65,27.65,233.7,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
8,"James Harden, HOU",81,36.8,.605,20.8,11.8,30.5,2.8,14.2,8.5,26.76,26.76,723.4,24.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
9,"Hassan Whiteside, MIA",48,23.8,.619,1.2,11.2,18.7,15.6,34.7,25.4,26.26,26.26,266.9,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4262,Hassan Whiteside
10,"Chris Paul, LAC",82,34.8,.596,35.8,8.1,24.8,2.1,12.5,7.4,26.04,26.04,641.3,21.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"LeBron James, CLE",69,36.1,.577,22.3,11.9,31.8,2.4,16.6,9.6,26.01,26.01,577.3,19.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
12,"DeMarcus Cousins, SAC",59,34.1,.545,11.9,14.4,31.8,10.8,30.6,21.1,25.29,25.29,441.2,14.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4258,DeMarcus Cousins
13,"Blake Griffin, LAC",67,35.2,.551,19.3,8.3,27.0,6.1,17.9,12.1,22.86,22.86,399.5,13.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
14,"LaMarcus Aldridge, POR",71,35.4,.528,6.8,6.7,27.6,7.7,22.9,15.5,22.85,22.85,425.4,14.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
15,"Arinze Onuaku, MIN",6,11.3,.771,17.0,8.5,12.2,11.4,24.3,17.7,22.82,22.82,12.2,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2202117,Arinze Onuaku
16,"Brook Lopez, BKN",72,29.2,.558,4.0,8.2,23.7,11.5,17.1,14.3,22.76,22.76,381.2,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
