Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"LeBron James, MIA",76,37.9,.640,23.3,9.6,28.2,4.4,20.8,13.1,31.67,31.67,909.0,30.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
2,"Henry Sims, NO",2,2.5,.667,0.0,25.0,33.3,46.8,0.0,23.8,29.30,29.30,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6647,Henry Sims
3,"Kevin Durant, OKC",81,38.5,.647,15.5,11.6,27.4,1.8,20.3,11.8,28.35,28.35,830.8,27.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
4,"Chris Paul, LAC",70,33.4,.594,36.9,8.7,23.9,2.8,10.5,6.7,26.43,26.43,537.7,17.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
5,"Carmelo Anthony, NY",67,37.0,.560,8.3,8.5,32.2,6.1,15.9,10.8,24.83,24.83,530.8,17.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
6,"Brook Lopez, BKN",74,30.4,.567,4.8,8.9,26.1,10.8,16.1,13.4,24.81,24.81,477.8,15.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
7,"Tim Duncan, SA",69,30.1,.554,12.8,10.2,24.8,7.3,29.6,19.1,24.45,24.45,401.7,13.4,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
8,"Dwyane Wade, MIA",69,34.7,.571,19.3,10.6,27.0,4.7,12.6,8.9,24.04,24.04,483.1,16.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
9,"Russell Westbrook, OKC",82,34.9,.532,22.8,10.2,31.2,4.8,11.8,8.6,23.98,23.98,554.4,18.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
10,"Tony Parker, SA",66,32.9,.588,27.6,9.4,26.6,1.0,9.1,5.3,23.10,23.10,392.7,13.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1015,Tony Parker
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
,"Kobe Bryant, LAL",78,38.6,.570,17.9,10.9,30.0,2.5,13.1,7.9,23.10,23.10,566.4,18.9,http://insider.espn.go.com/nba/players/hollinger?playerId=110,Kobe Bryant
12,"James Harden, HOU",78,38.3,.600,18.7,12.1,27.4,2.4,11.9,7.2,23.00,23.00,556.9,18.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
13,"Blake Griffin, LAC",80,32.5,.572,17.2,10.6,24.0,8.7,21.5,15.2,22.44,22.44,424.3,14.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
14,"Amar'e Stoudemire, NY",29,23.5,.637,3.4,12.9,22.8,10.0,15.1,12.4,22.16,22.16,108.5,3.6,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
15,"Andray Blatche, BKN",82,19.0,.547,8.7,12.6,24.6,12.2,19.6,15.8,21.98,21.98,264.0,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2746,Andray Blatche
16,"Anthony Davis, NO",64,28.8,.559,6.8,9.6,19.9,10.5,23.5,16.8,21.80,21.80,283.8,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
17,"Anderson Varejao, CLE",25,36.0,.529,18.2,9.5,17.9,16.9,30.1,23.2,21.71,21.71,149.3,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2419,Anderson Varejao
