Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
18,"Andre Drummond, DET",60,20.7,.578,6.0,11.4,15.6,15.4,27.2,21.2,21.69,21.69,205.7,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6585,Andre Drummond
19,"Kyrie Irving, CLE",59,34.7,.553,20.1,11.0,29.2,1.8,10.8,6.1,21.51,21.51,321.3,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6442,Kyrie Irving
20,"Stephen Curry, GS",78,38.2,.589,23.5,10.5,25.3,2.3,9.1,5.8,21.34,21.34,460.2,15.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
21,"Brandan Wright, DAL",64,18.0,.606,7.3,6.6,16.8,8.4,16.7,12.6,21.03,21.03,178.9,6.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3242,Brandan Wright
22,"Al Jefferson, UTAH",78,33.1,.522,10.2,6.6,23.4,7.0,25.9,16.3,20.99,20.99,399.8,13.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
23,"John Wall, WSH",49,32.7,.521,26.7,11.2,28.7,2.4,11.2,6.8,20.91,20.91,236.9,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
24,"JaVale McGee, DEN",79,18.1,.589,3.3,12.5,19.1,12.6,17.1,14.9,20.78,20.78,217.7,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3452,JaVale McGee
25,"LaMarcus Aldridge, POR",74,37.7,.530,10.6,7.9,24.2,7.2,20.9,14.0,20.45,20.45,372.6,12.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
26,"Deron Williams, BKN",78,36.4,.574,28.6,10.3,24.9,1.2,8.5,4.8,20.38,20.38,397.8,13.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2798,Deron Williams
27,"Nikola Pekovic, MIN",62,31.6,.572,5.1,9.7,20.3,13.0,19.0,15.9,20.26,20.26,282.3,9.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3453,Nikola Pekovic
28,"DeMarcus Cousins, SAC",75,30.5,.524,12.1,13.7,25.9,10.9,27.0,18.7,20.21,20.21,328.3,10.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4258,DeMarcus Cousins
29,"David West, IND",73,33.4,.545,14.0,10.3,23.0,6.8,18.8,12.9,20.15,20.15,314.2,10.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
30,"Chris Bosh, MIA",74,33.2,.592,9.5,9.9,20.0,7.0,17.6,12.6,20.08,20.08,347.3,11.6,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Paul Millsap, UTAH",78,30.4,.550,14.7,10.1,21.1,8.6,18.8,13.7,19.89,19.89,297.4,9.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3015,Paul Millsap
32,"Jeremy Evans, UTAH",37,5.8,.641,14.2,10.3,13.2,14.0,17.6,15.8,19.88,19.88,30.1,1.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4295,Jeremy Evans
,"Dirk Nowitzki, DAL",53,31.3,.564,13.0,6.9,21.9,2.5,21.5,12.2,19.88,19.88,207.6,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=609,Dirk Nowitzki
34,"Al Horford, ATL",74,37.2,.560,15.6,9.6,19.9,8.2,23.0,15.7,19.84,19.84,379.9,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
35,"JJ Hickson, POR",80,29.0,.591,8.0,13.2,18.0,13.2,28.5,20.7,19.71,19.71,315.8,10.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3437,JJ Hickson
36,"Marc Gasol, MEM",80,35.0,.559,21.4,10.6,18.8,7.6,18.9,13.1,19.57,19.57,374.5,12.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
37,"Greg Monroe, DET",81,33.2,.527,16.1,13.4,23.5,9.9,23.6,16.6,19.52,19.52,357.7,11.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
38,"Dwight Howard, LAL",76,35.8,.573,7.4,15.4,19.9,10.4,27.4,19.1,19.48,19.48,360.7,12.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
39,"Serge Ibaka, OKC",80,31.1,.612,4.2,12.1,15.9,11.1,17.0,14.2,19.41,19.41,293.3,9.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
40,"Kevin Garnett, BOS",68,29.7,.535,13.2,9.1,21.9,4.5,25.8,15.5,19.25,19.25,261.0,8.7,http://insider.espn.go.com/nba/players/hollinger?playerId=261,Kevin Garnett
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"David Lee, GS",79,36.8,.561,15.6,11.6,21.5,8.5,24.5,16.8,19.23,19.23,335.4,11.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
42,"Paul Pierce, BOS",77,33.4,.559,19.9,11.5,25.2,2.1,19.7,11.2,19.14,19.14,332.1,11.1,http://insider.espn.go.com/nba/players/hollinger?playerId=662,Paul Pierce
43,"Manu Ginobili, SA",60,23.2,.560,26.5,12.7,24.0,2.6,13.4,8.3,19.05,19.05,177.7,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
44,"Robin Lopez, NO",82,26.0,.573,6.5,11.2,18.3,12.4,13.4,12.9,18.98,18.98,267.2,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3447,Robin Lopez
45,"Tyson Chandler, NY",66,32.8,.671,9.4,13.1,11.8,14.1,24.3,19.0,18.88,18.88,267.4,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=984,Tyson Chandler
46,"Kemba Walker, CHA",82,34.9,.517,22.7,9.6,24.8,2.3,9.2,5.7,18.86,18.86,335.5,11.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6479,Kemba Walker
47,"Jose Calderon, DET/TOR",73,29.6,.616,39.4,9.6,16.5,1.1,8.6,4.8,18.80,18.80,251.5,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2806,Jose Calderon
48,"Larry Sanders, MIL",71,27.3,.523,9.9,10.4,15.6,12.0,25.8,18.6,18.77,18.77,236.1,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4265,Larry Sanders
49,"Tiago Splitter, SA",81,24.7,.609,14.2,10.9,16.3,8.8,20.3,14.9,18.72,18.72,242.0,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3233,Tiago Splitter
50,"Samuel Dalembert, MIL",47,16.3,.565,6.0,14.6,17.0,14.2,24.9,19.4,18.60,18.60,91.3,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=991,Samuel Dalembert
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Kenneth Faried, DEN",80,28.1,.573,7.7,11.3,16.2,13.2,23.2,18.3,18.52,18.52,269.1,9.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6433,Kenneth Faried
52,"Jordan Hill, LAL",29,15.8,.533,5.9,11.8,18.1,20.3,19.7,20.0,18.51,18.51,54.0,1.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3994,Jordan Hill
53,"Chris Johnson, MIN",30,9.5,.650,7.2,11.7,14.8,7.8,16.6,12.1,18.50,18.50,29.7,1.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4400,Chris Johnson
54,"Mike Conley, MEM",80,34.5,.549,28.0,10.9,21.3,1.8,7.9,4.8,18.38,18.38,303.8,10.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
55,"Ersan Ilyasova, MIL",73,27.6,.552,11.0,7.0,19.0,7.9,20.3,13.9,18.37,18.37,236.3,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2767,Ersan Ilyasova
56,"John Henson, MIL",63,13.1,.497,6.7,10.2,20.6,14.5,24.4,19.3,18.30,18.30,84.0,2.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6592,John Henson
57,"Thaddeus Young, PHI",76,34.6,.541,10.0,7.2,18.1,7.6,17.2,12.3,18.27,18.27,305.0,10.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3244,Thaddeus Young
58,"Ryan Anderson, NO",81,30.9,.548,7.0,7.0,22.0,8.9,15.9,12.4,18.17,18.17,249.1,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3412,Ryan Anderson
59,"Tyreke Evans, SAC",65,31.0,.558,18.4,10.3,21.2,3.1,13.5,8.2,18.16,18.16,215.4,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3983,Tyreke Evans
,"Joakim Noah, CHI",66,36.8,.534,22.4,15.0,16.9,12.2,22.6,17.3,18.16,18.16,273.7,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3224,Joakim Noah
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Rajon Rondo, BOS",38,37.4,.516,39.1,13.8,22.4,3.7,13.6,8.8,18.12,18.12,151.2,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3026,Rajon Rondo
62,"Shawn Marion, DAL",67,30.0,.553,16.3,10.3,17.4,8.2,20.6,14.5,18.02,18.02,225.5,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=510,Shawn Marion
63,"Kevin Love, MIN",18,34.3,.458,9.5,8.8,26.5,11.5,35.9,23.3,17.97,17.97,59.6,2.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
64,"Ty Lawson, DEN",73,34.4,.549,28.0,10.2,22.4,1.6,7.1,4.4,17.96,17.96,261.2,8.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4000,Ty Lawson
65,"Zach Randolph, MEM",76,34.3,.506,7.6,10.6,21.3,13.8,25.1,19.3,17.92,17.92,249.7,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
66,"Vince Carter, DAL",81,25.8,.571,15.5,8.5,21.1,3.2,14.5,8.9,17.87,17.87,229.6,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=136,Vince Carter
67,"Nikola Vucevic, ORL",77,33.2,.534,11.6,11.5,17.7,12.0,28.4,20.2,17.85,17.85,277.0,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6478,Nikola Vucevic
68,"Josh Smith, ATL",76,35.3,.501,17.2,12.1,24.6,5.8,21.3,13.6,17.82,17.82,293.0,9.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2411,Josh Smith
,"Ed Davis, TOR/MEM",81,20.1,.561,9.2,9.2,16.7,10.9,22.8,16.7,17.82,17.82,153.8,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4259,Ed Davis
70,"Ramon Sessions, CHA",61,27.1,.529,19.8,8.9,24.5,1.8,10.1,5.9,17.80,17.80,167.6,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3231,Ramon Sessions
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"JR Smith, NY",80,33.5,.522,12.5,7.7,24.4,2.7,16.3,9.3,17.67,17.67,286.7,9.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2444,JR Smith
,"Andrei Kirilenko, MIN",64,31.8,.590,18.3,12.3,16.5,5.6,15.1,10.2,17.67,17.67,217.6,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=434,Andrei Kirilenko
73,"Enes Kanter, UTAH",70,15.4,.588,5.5,18.0,20.3,14.5,18.6,16.5,17.65,17.65,113.5,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6447,Enes Kanter
74,"Eric Bledsoe, LAC",76,20.4,.513,23.4,13.7,21.9,6.1,11.1,8.6,17.60,17.60,153.0,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4238,Eric Bledsoe
,"Carl Landry, GS",81,23.2,.605,7.2,12.7,17.9,10.9,17.3,14.2,17.60,17.60,170.7,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3217,Carl Landry
76,"Isaiah Thomas, SAC",79,26.9,.574,22.3,9.9,22.2,1.5,7.3,4.4,17.58,17.58,208.3,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
77,"Derrick Favors, UTAH",77,23.2,.533,8.5,14.6,18.9,11.9,24.0,17.9,17.57,17.57,161.9,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
78,"Goran Dragic, PHX",77,33.5,.540,31.1,11.6,22.1,2.6,8.0,5.2,17.52,17.52,251.2,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3423,Goran Dragic
79,"Kyle Lowry, TOR",68,29.7,.543,33.0,11.9,20.7,3.2,15.9,9.5,17.51,17.51,196.2,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
80,"Chris Andersen, MIA",42,14.9,.631,8.3,11.7,12.6,11.9,21.5,17.0,17.44,17.44,55.4,1.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1135,Chris Andersen
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"Nate Robinson, CHI",82,25.4,.540,23.9,9.6,24.8,1.6,8.6,5.1,17.43,17.43,200.1,6.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2782,Nate Robinson
82,"Marreese Speights, CLE/MEM",79,16.5,.498,6.0,10.2,24.2,12.7,22.3,17.3,17.35,17.35,113.4,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3460,Marreese Speights
83,"Amir Johnson, TOR",81,28.7,.591,13.2,12.6,14.8,11.4,20.0,15.6,17.33,17.33,202.4,6.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2769,Amir Johnson
84,"Roy Hibbert, IND",79,28.7,.489,9.2,13.1,20.8,14.8,17.4,16.1,17.32,17.32,227.7,7.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3436,Roy Hibbert
85,"Kosta Koufos, DEN",81,22.4,.585,5.0,8.3,13.1,13.3,21.2,17.3,17.22,17.22,179.6,6.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3444,Kosta Koufos
86,"DeAndre Jordan, LAC",82,24.5,.606,3.9,13.8,14.2,12.7,22.4,17.6,17.21,17.21,198.3,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
87,"Carlos Boozer, CHI",79,32.2,.510,11.1,10.9,24.1,7.8,27.2,17.4,17.17,17.17,215.4,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1703,Carlos Boozer
88,"Terrence Jones, HOU",19,14.5,.512,11.6,10.0,16.6,11.6,15.0,13.4,17.11,17.11,23.1,0.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6597,Terrence Jones
89,"Nene , WSH",61,27.2,.538,17.2,13.5,22.0,6.7,20.6,13.6,17.07,17.07,160.1,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1713,Nene 
90,"Jordan Hamilton, DEN",40,9.9,.490,9.0,7.5,23.3,9.2,17.4,13.4,16.98,16.98,38.4,1.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6436,Jordan Hamilton
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"Jamal Crawford, LAC",76,29.3,.558,13.2,10.0,24.2,1.2,5.6,3.4,16.89,16.89,212.7,7.1,http://insider.espn.go.com/nba/players/hollinger?playerId=165,Jamal Crawford
,"Chris Copeland, NY",56,15.4,.583,5.5,10.1,22.6,4.5,11.9,8.1,16.89,16.89,82.2,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6635,Chris Copeland
93,"Jason Smith, NO",51,17.2,.544,7.2,11.6,21.5,8.6,16.9,12.7,16.84,16.84,69.8,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3232,Jason Smith
,"Paul George, IND",79,37.6,.531,17.6,12.6,22.4,3.4,19.0,11.3,16.84,16.84,281.3,9.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4251,Paul George
95,"Jeff Teague, ATL",80,32.9,.543,30.8,12.2,22.7,1.1,6.7,3.9,16.82,16.82,228.4,7.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4015,Jeff Teague
96,"Gordon Hayward, UTAH",72,29.2,.564,17.2,9.7,21.0,2.8,9.8,6.3,16.81,16.81,198.2,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
97,"Luis Scola, PHX",82,26.6,.516,13.7,9.5,21.7,8.1,20.4,14.1,16.80,16.80,172.8,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1781,Luis Scola
98,"Jermaine O'Neal, PHX",55,18.7,.538,7.8,13.6,19.5,8.9,23.8,16.2,16.76,16.76,94.7,3.2,http://insider.espn.go.com/nba/players/hollinger?playerId=615,Jermaine O'Neal
99,"Pau Gasol, LAL",49,33.8,.512,20.8,10.8,19.5,7.6,20.1,14.0,16.75,16.75,129.6,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
100,"Jrue Holiday, PHI",78,37.5,.496,27.0,12.6,26.2,3.3,9.5,6.4,16.74,16.74,250.5,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Danilo Gallinari, DEN",71,32.5,.561,13.4,8.5,20.0,3.2,14.4,8.9,16.73,16.73,214.6,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
,"Arnett Moultrie, PHI",47,11.5,.595,5.7,10.8,12.6,15.4,14.8,15.1,16.73,16.73,42.3,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6612,Arnett Moultrie
103,"Rasheed Wallace, NY",21,14.1,.484,3.6,6.0,22.6,4.2,29.4,16.4,16.70,16.70,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=883,Rasheed Wallace
104,"Will Bynum, DET",65,18.8,.532,24.2,13.1,26.6,2.6,6.6,4.6,16.62,16.62,102.2,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2816,Will Bynum
105,"Wilson Chandler, DEN",43,25.1,.556,9.3,9.6,20.9,4.8,17.6,11.3,16.61,16.61,98.4,3.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3194,Wilson Chandler
106,"George Hill, IND",76,34.5,.558,24.7,8.1,18.6,2.0,9.9,6.0,16.59,16.59,218.8,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3438,George Hill
107,"Gerald Henderson, CHA",68,31.4,.531,13.9,8.5,21.8,2.9,10.8,6.7,16.48,16.48,190.4,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3993,Gerald Henderson
108,"Kawhi Leonard, SA",58,31.2,.592,12.6,8.4,14.6,4.3,17.1,11.1,16.46,16.46,160.9,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
109,"Damian Lillard, POR",82,38.6,.546,24.1,11.0,23.5,1.5,8.0,4.7,16.45,16.45,257.6,8.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6606,Damian Lillard
110,"Darren Collison, DAL",81,29.3,.575,29.0,12.1,19.1,1.5,8.7,5.1,16.37,16.37,190.2,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3973,Darren Collison
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Greivis Vasquez, NO",78,34.4,.502,34.7,12.2,24.2,1.9,13.3,7.5,16.34,16.34,214.1,7.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4291,Greivis Vasquez
,"Mike Scott, ATL",40,9.4,.533,5.9,10.3,20.9,12.1,21.3,16.7,16.34,16.34,27.2,0.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6622,Mike Scott
113,"Chris Kaman, DAL",66,20.7,.529,6.3,12.7,22.2,8.0,22.0,15.1,16.32,16.32,116.8,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1982,Chris Kaman
,"Marcus Thornton, SAC",72,24.0,.552,9.2,6.9,21.1,3.2,9.0,6.0,16.32,16.32,149.9,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4017,Marcus Thornton
115,"Monta Ellis, MIL",82,37.5,.493,21.1,10.8,25.5,1.5,9.8,5.5,16.30,16.30,243.3,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2751,Monta Ellis
116,"Brandon Jennings, MIL",80,36.2,.510,24.9,9.7,23.4,2.1,7.2,4.6,16.20,16.20,224.8,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3997,Brandon Jennings
,"Ricky Rubio, MIN",57,29.7,.482,34.3,14.1,22.1,2.9,12.9,7.7,16.20,16.20,131.2,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4011,Ricky Rubio
118,"Greg Smith, HOU",70,15.9,.636,6.3,10.3,13.1,11.5,21.2,16.4,16.17,16.17,77.4,2.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6530,Greg Smith
119,"Tristan Thompson, CLE",82,31.3,.516,9.3,10.6,16.9,13.2,22.1,17.5,16.12,16.12,176.9,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6474,Tristan Thompson
120,"Kevin Martin, OKC",77,27.7,.608,9.7,9.2,18.9,1.8,7.4,4.8,16.09,16.09,178.3,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2394,Kevin Martin
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
121,"Dorell Wright, PHI",79,22.6,.551,17.1,7.3,17.6,2.6,17.0,9.6,16.07,16.07,148.1,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2423,Dorell Wright
122,"Tobias Harris, MIL/ORL",55,23.6,.527,9.8,9.3,17.8,6.2,18.6,12.3,16.05,16.05,107.7,3.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6440,Tobias Harris
123,"Spencer Hawes, PHI",82,27.2,.514,15.3,11.0,19.4,8.5,21.7,14.9,16.02,16.02,180.5,6.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3211,Spencer Hawes
124,"Steve Nash, LAL",50,32.5,.605,33.8,12.8,18.3,1.8,7.7,4.8,16.00,16.00,121.4,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=592,Steve Nash
125,"Lou Williams, ATL",39,28.7,.555,19.6,10.4,22.0,0.8,7.3,4.1,15.98,15.98,91.5,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
126,"Jarrett Jack, GS",79,29.7,.542,28.5,10.2,20.7,1.0,10.1,5.7,15.93,15.93,172.9,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2768,Jarrett Jack
,"Shavlik Randolph, BOS",16,12.4,.559,5.4,13.5,14.5,17.2,24.3,20.9,15.93,15.93,13.1,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2810,Shavlik Randolph
,"Quincy Acy, TOR",29,11.8,.632,9.2,14.2,13.4,10.3,16.6,13.4,15.93,15.93,27.7,0.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6576,Quincy Acy
