Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
,"Ryan Anderson, ORL",61,32.2,.589,5.7,6.0,19.0,13.0,14.7,13.8,21.23,21.23,285.1,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3412,Ryan Anderson
30,"Marcin Gortat, PHX",66,32.0,.578,5.7,8.8,18.5,10.0,25.0,17.6,21.21,21.21,334.8,11.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2758,Marcin Gortat
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Carmelo Anthony, NY",55,34.1,.525,13.1,9.4,29.2,5.4,15.9,10.6,21.15,21.15,298.3,9.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
32,"Josh Smith, ATL",66,35.3,.499,15.4,9.9,26.0,6.9,24.8,15.9,21.14,21.14,335.1,11.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2411,Josh Smith
33,"James Harden, OKC",62,31.4,.660,19.8,11.8,20.2,1.9,12.2,7.4,21.13,21.13,300.0,10.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
34,"Ersan Ilyasova, MIL",60,27.6,.577,8.6,9.2,18.3,12.7,22.8,17.6,20.55,20.55,223.6,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2767,Ersan Ilyasova
35,"Pau Gasol, LAL",65,37.4,.547,16.9,10.1,20.8,8.8,21.8,15.6,20.51,20.51,326.8,10.9,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
,"Tiago Splitter, SA",59,19.0,.649,11.3,15.1,18.7,9.7,21.4,15.7,20.51,20.51,165.8,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3233,Tiago Splitter
37,"Kevin Garnett, BOS",60,31.1,.550,15.3,9.4,22.3,4.4,25.8,15.6,20.47,20.47,249.4,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=261,Kevin Garnett
38,"Deron Williams, NJ",55,36.3,.527,26.8,12.2,29.8,1.3,9.6,5.3,20.34,20.34,278.7,9.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2798,Deron Williams
39,"Steve Nash, PHX",62,31.6,.625,44.0,15.2,21.5,1.5,9.1,5.3,20.29,20.29,271.9,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=592,Steve Nash
40,"Lou Williams, PHI",64,26.3,.525,18.4,5.9,25.6,2.0,8.3,5.1,20.22,20.22,231.4,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
