Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"Thanasis Antetokounmpo, NY",2,3.0,.750,0.0,0.0,27.3,0.0,17.9,9.1,33.08,33.08,2.0,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3102533,Thanasis Antetokounmpo
2,"Rakeem Christmas, IND",1,6.0,1.000,0.0,0.0,13.2,18.3,0.0,9.1,32.11,32.11,1.8,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2596110,Rakeem Christmas
3,"Stephen Curry, GS",79,34.2,.669,20.6,10.2,31.6,2.9,13.6,8.6,31.56,31.56,828.6,27.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
4,"Kevin Durant, OKC",72,35.8,.634,16.3,11.3,30.2,2.0,21.8,12.4,28.25,28.25,682.8,22.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
5,"Boban Marjanovic, SA",54,9.4,.662,7.7,10.6,21.0,16.9,26.2,21.7,27.77,27.77,130.2,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4376,Boban Marjanovic
6,"Russell Westbrook, OKC",80,34.4,.554,29.0,11.9,33.3,6.1,18.1,12.4,27.64,27.64,683.0,22.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
,"LeBron James, CLE",76,35.6,.588,21.5,10.4,31.1,4.7,18.8,11.8,27.64,27.64,692.9,23.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
8,"Chris Paul, LAC",74,32.7,.575,33.7,8.9,28.1,1.8,12.0,7.0,26.31,26.31,552.8,18.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
9,"Kawhi Leonard, SA",72,33.1,.616,12.2,6.9,24.2,4.7,18.4,11.8,26.11,26.11,554.6,18.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
10,"Hassan Whiteside, MIA",73,29.1,.629,2.9,13.8,18.8,13.1,32.4,23.1,25.69,25.69,478.5,16.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4262,Hassan Whiteside
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"James Harden, HOU",82,38.1,.598,20.6,12.6,32.2,2.2,15.6,8.8,25.36,25.36,693.1,23.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
12,"Anthony Davis, NO",61,35.5,.559,7.4,7.7,27.2,6.4,26.4,16.1,25.10,25.10,439.1,14.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
13,"Enes Kanter, OKC",82,21.0,.626,3.4,11.8,21.9,16.7,24.9,21.0,24.09,24.09,346.5,11.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6447,Enes Kanter
14,"Coty Clarke, BOS",3,2.0,.750,0.0,20.0,32.3,0.0,18.0,8.8,24.02,24.02,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2991134,Coty Clarke
15,"DeMarcus Cousins, SAC",65,34.6,.538,10.3,11.9,33.2,7.7,28.2,18.0,23.67,23.67,438.0,14.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4258,DeMarcus Cousins
16,"Jonas Valanciunas, TOR",60,26.0,.610,5.6,11.2,19.3,13.8,26.3,20.1,22.63,22.63,279.6,9.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6477,Jonas Valanciunas
