Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
17,"Karl-Anthony Towns, MIN",82,32.0,.590,10.0,11.3,23.1,10.2,27.5,19.0,22.59,22.59,469.9,15.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3136195,Karl-Anthony Towns
18,"Michael Beasley, HOU",20,18.2,.563,6.0,9.0,27.6,8.8,21.1,14.9,22.57,22.57,65.4,2.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3418,Michael Beasley
19,"Carl Landry, PHI",36,15.8,.605,9.3,6.4,22.2,9.1,19.2,14.0,22.51,22.51,93.5,3.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3217,Carl Landry
20,"LaMarcus Aldridge, SA",74,30.6,.565,7.9,7.1,23.8,9.2,22.2,15.9,22.43,22.43,369.0,12.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
21,"Damian Lillard, POR",75,35.7,.560,21.1,10.0,31.2,1.8,10.4,6.1,22.25,22.25,449.1,15.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6606,Damian Lillard
22,"Blake Griffin, LAC",35,33.4,.544,18.1,8.8,28.3,4.8,22.3,13.7,22.22,22.22,187.1,6.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
23,"Kyle Lowry, TOR",77,37.0,.578,23.2,10.5,26.0,2.2,12.3,7.3,22.20,22.20,476.5,15.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
24,"Greg Monroe, MIL",79,29.3,.562,12.9,9.3,22.2,10.9,23.4,17.2,21.87,21.87,389.2,13.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
25,"Brook Lopez, BKN",73,33.7,.562,8.8,10.6,25.5,9.2,17.2,13.1,21.80,21.80,410.8,13.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
26,"Pau Gasol, CHI",72,31.8,.529,18.6,10.4,24.1,7.3,28.7,18.2,21.76,21.76,381.6,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=996,Pau Gasol
27,"Derrick Favors, UTAH",62,32.0,.551,8.4,9.3,22.4,10.0,19.6,14.8,21.71,21.71,302.1,10.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
28,"DeMar DeRozan, TOR",78,35.9,.550,14.6,8.1,28.5,2.7,11.5,7.1,21.58,21.58,463.9,15.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3978,DeMar DeRozan
,"Nikola Jokic, DEN",80,21.7,.582,19.4,10.6,19.6,11.4,24.7,17.9,21.58,21.58,284.1,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3112335,Nikola Jokic
30,"Isaiah Thomas, BOS",82,32.2,.562,21.7,9.4,29.5,1.8,8.0,4.9,21.54,21.54,415.8,13.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
31,"Cole Aldrich, LAC",60,13.3,.626,13.3,17.0,17.2,11.9,27.1,19.6,21.35,21.35,128.4,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4267,Cole Aldrich
32,"Paul Millsap, ATL",81,32.7,.556,15.6,11.2,22.7,8.4,21.5,15.1,21.33,21.33,388.5,13.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3015,Paul Millsap
,"Jimmy Butler, CHI",67,36.9,.562,18.9,7.8,23.9,3.4,11.6,7.6,21.33,21.33,399.9,13.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6430,Jimmy Butler
34,"Andre Drummond, DET",81,32.9,.499,4.4,10.1,22.6,15.6,34.2,24.5,21.30,21.30,425.8,14.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6585,Andre Drummond
35,"Nikola Vucevic, ORL",65,31.3,.531,12.7,8.7,25.4,9.3,22.2,15.7,21.15,21.15,320.8,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6478,Nikola Vucevic
,"Alan Williams, PHX",10,6.8,.481,12.1,14.6,21.6,21.9,39.2,30.3,21.15,21.15,10.7,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2579326,Alan Williams
37,"Kenneth Faried, DEN",67,25.3,.577,8.8,10.2,19.8,15.1,23.0,19.0,21.06,21.06,241.7,8.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6433,Kenneth Faried
38,"Paul George, IND",81,34.8,.557,14.5,11.6,28.9,3.1,18.7,10.9,20.98,20.98,441.0,14.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4251,Paul George
39,"Kemba Walker, CHA",81,35.6,.554,19.9,8.1,25.5,2.1,11.5,6.8,20.87,20.87,425.0,14.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6479,Kemba Walker
40,"DeAndre Jordan, LAC",77,33.7,.628,9.2,10.9,14.1,11.4,32.7,22.2,20.66,20.66,390.2,13.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"Dwyane Wade, MIA",74,30.5,.517,18.0,10.6,30.5,4.3,10.7,7.6,20.42,20.42,334.3,11.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
42,"Carmelo Anthony, NY",72,35.1,.530,15.3,9.0,28.5,4.3,19.5,12.0,20.38,20.38,372.9,12.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1975,Carmelo Anthony
43,"Chris Bosh, MIA",53,33.5,.571,11.7,7.2,23.2,3.2,21.1,12.4,20.29,20.29,233.2,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
44,"Eric Bledsoe, PHX",31,34.2,.557,21.9,12.7,27.2,1.8,11.2,6.4,20.10,20.10,143.9,4.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4238,Eric Bledsoe
45,"Jarnell Stokes, MIA/MEM",7,2.6,.595,14.5,0.0,18.2,6.4,18.6,12.6,20.03,20.03,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2614962,Jarnell Stokes
46,"JaVale McGee, DAL",34,10.9,.574,1.7,12.1,18.9,15.8,23.7,19.7,20.00,20.00,51.9,1.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3452,JaVale McGee
47,"Kyrie Irving, CLE",53,31.5,.540,18.7,9.3,28.8,3.0,7.6,5.3,19.96,19.96,222.8,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6442,Kyrie Irving
48,"John Wall, WSH",77,36.2,.510,30.3,12.2,29.1,1.7,13.8,7.6,19.83,19.83,367.0,12.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
49,"Jrue Holiday, NO",65,28.2,.529,24.6,10.5,28.8,1.6,10.5,5.9,19.74,19.74,238.7,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
50,"David Lee, BOS/DAL",55,16.4,.568,16.0,12.5,22.3,12.0,24.6,18.2,19.64,19.64,109.7,3.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Reggie Jackson, DET",79,30.7,.535,23.3,10.6,29.6,2.5,9.1,5.7,19.62,19.62,312.0,10.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6443,Reggie Jackson
52,"Al Horford, ATL",82,32.1,.565,17.8,7.3,19.5,6.3,18.2,12.4,19.46,19.46,347.8,11.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
53,"Mike Conley, MEM",56,31.4,.538,28.0,6.9,23.2,1.6,9.3,5.3,19.45,19.45,222.0,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
54,"Draymond Green, GS",81,34.7,.587,32.8,14.2,19.5,5.5,23.0,14.7,19.31,19.31,327.4,10.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6589,Draymond Green
55,"Willie Reed, BKN",39,10.9,.579,5.5,8.7,16.7,12.7,19.6,16.1,19.22,19.22,49.1,1.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2326015,Willie Reed
56,"Jorge Gutierrez, CHA",12,5.3,.694,43.8,15.4,17.5,0.0,12.3,6.1,19.17,19.17,7.7,0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2327449,Jorge Gutierrez
57,"Dirk Nowitzki, DAL",75,31.5,.555,9.1,5.8,23.5,2.4,20.3,11.4,19.09,19.09,267.9,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=609,Dirk Nowitzki
58,"Kevin Love, CLE",77,31.5,.553,12.8,9.8,22.4,7.0,28.4,17.8,19.08,19.08,274.4,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
59,"Marcin Gortat, WSH",75,30.1,.592,9.8,11.2,17.5,10.8,26.3,18.4,19.04,19.04,284.3,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2758,Marcin Gortat
,"Danilo Gallinari, DEN",53,34.7,.582,12.3,7.0,22.0,3.1,14.0,8.5,19.04,19.04,234.3,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Dwight Howard, HOU",71,32.1,.604,9.1,15.5,17.3,11.4,29.1,20.2,18.99,18.99,285.6,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
62,"Giannis Antetokounmpo, MIL",80,35.3,.566,19.8,11.9,21.8,4.6,20.0,12.4,18.86,18.86,352.1,11.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3032977,Giannis Antetokounmpo
63,"Ed Davis, POR",81,20.8,.616,15.2,11.1,12.3,14.4,24.2,19.3,18.76,18.76,205.0,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4259,Ed Davis
64,"Kevon Looney, GS",5,4.2,.643,0.0,12.5,14.7,21.8,29.1,25.6,18.71,18.71,2.6,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3155535,Kevon Looney
65,"Klay Thompson, GS",80,33.3,.597,9.3,7.7,24.3,1.5,10.3,6.2,18.67,18.67,325.0,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6475,Klay Thompson
66,"John Henson, MIL",57,16.8,.580,11.7,13.9,18.0,10.4,15.8,13.2,18.63,18.63,102.2,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=6592,John Henson
67,"Zach Randolph, MEM",68,29.6,.519,11.4,8.4,23.5,9.7,20.7,15.0,18.39,18.39,207.3,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
68,"Gordon Hayward, UTAH",80,36.2,.559,15.5,10.6,24.9,2.5,13.5,8.0,18.37,18.37,339.6,11.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
69,"Brandan Wright, MEM",12,17.7,.663,7.6,12.7,14.4,7.2,16.3,11.6,18.36,18.36,21.7,0.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3242,Brandan Wright
70,"Clint Capela, HOU",77,19.1,.553,7.9,10.1,15.1,14.4,22.7,18.5,18.30,18.30,149.3,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3102529,Clint Capela
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"Al Jefferson, CHA",47,23.3,.507,10.6,5.2,22.4,5.6,24.6,15.0,18.26,18.26,125.3,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
72,"Jeff Teague, ATL",79,28.5,.551,25.9,12.0,26.3,1.6,8.6,5.2,17.98,17.98,235.1,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4015,Jeff Teague
73,"Tyreke Evans, NO",25,30.6,.534,27.7,12.3,25.0,2.8,16.4,9.3,17.96,17.96,85.1,2.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3983,Tyreke Evans
74,"Manu Ginobili, SA",58,19.6,.573,23.3,13.0,23.2,2.7,11.7,7.3,17.90,17.90,125.3,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
75,"James Ennis III, NO/MIA/MEM",22,15.0,.621,12.5,11.3,18.8,0.0,0.0,0.0,17.84,17.84,36.0,1.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2579321,James Ennis III
76,"Delon Wright, TOR",27,8.5,.540,21.8,11.2,21.9,4.1,14.3,9.3,17.82,17.82,23.3,0.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3064447,Delon Wright
77,"Kristaps Porzingis, NY",72,28.4,.518,7.8,10.0,22.9,7.1,20.7,14.0,17.80,17.80,192.6,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3102531,Kristaps Porzingis
,"Aron Baynes, DET",81,15.2,.563,8.9,11.7,17.7,11.9,22.5,17.0,17.80,17.80,132.5,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2968439,Aron Baynes
79,"CJ McCollum, POR",80,34.8,.544,16.5,9.5,26.4,1.8,8.3,5.0,17.79,17.79,302.6,10.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2490149,CJ McCollum
80,"Festus Ezeli, GS",46,16.7,.559,9.0,10.7,16.8,13.5,21.9,18.0,17.77,17.77,82.4,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6587,Festus Ezeli
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"Lou Williams, LAL",67,28.5,.584,14.5,9.3,21.9,1.7,8.1,4.8,17.76,17.76,206.8,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
82,"Marc Gasol, MEM",52,34.4,.528,17.4,10.5,22.9,3.5,20.2,11.5,17.74,17.74,190.9,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
83,"Jeff Withey, UTAH",51,12.9,.577,8.5,11.9,14.2,10.0,20.7,15.4,17.69,17.69,69.7,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2333797,Jeff Withey
84,"Robin Lopez, NY",82,27.1,.574,11.6,13.6,16.7,13.4,16.2,14.8,17.66,17.66,233.8,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3447,Robin Lopez
,"David West, SA",78,18.0,.573,20.6,9.8,17.5,6.0,18.6,12.5,17.66,17.66,129.0,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
86,"Ricky Rubio, MIN",76,30.6,.529,41.7,12.3,19.7,2.0,14.1,8.2,17.64,17.64,230.3,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4011,Ricky Rubio
87,"Cristiano Felicio, CHI",31,10.4,.601,20.6,10.3,13.6,10.0,23.1,16.7,17.61,17.61,29.3,1.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3113587,Cristiano Felicio
88,"JJ Redick, LAC",75,28.0,.632,9.2,6.8,20.7,0.5,6.6,3.6,17.58,17.58,221.6,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3024,JJ Redick
,"Thaddeus Young, BKN",73,33.0,.533,10.4,10.4,20.4,8.1,23.0,15.4,17.58,17.58,218.4,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3244,Thaddeus Young
90,"Rudy Gobert, UTAH",61,31.7,.582,13.3,16.7,13.6,12.6,27.7,20.2,17.51,17.51,199.3,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3032976,Rudy Gobert
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"Kyle O'Quinn, NY",65,11.8,.520,16.7,14.2,20.5,11.0,24.5,17.9,17.50,17.50,68.5,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6615,Kyle O'Quinn
92,"Miles Plumlee, MIL",61,14.3,.606,5.1,12.7,14.2,12.5,18.0,15.2,17.43,17.43,88.6,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6616,Miles Plumlee
93,"Brandon Bass, LAL",66,20.3,.619,14.9,8.4,13.4,8.1,15.0,11.4,17.38,17.38,117.8,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2745,Brandon Bass
94,"Amar'e Stoudemire, MIA",52,14.7,.599,8.3,14.5,16.5,10.0,22.6,16.5,17.34,17.34,66.4,2.2,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
95,"Mario Chalmers, MIA/MEM",61,22.5,.561,25.6,12.2,18.1,1.9,11.5,6.5,17.33,17.33,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3419,Mario Chalmers
96,"Jordan Adams, MEM",2,7.5,.427,22.7,15.2,30.6,0.0,15.9,7.6,17.31,17.31,1.5,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2993873,Jordan Adams
97,"Ryan Anderson, NO",66,30.4,.546,6.1,7.5,22.6,7.0,15.2,10.9,17.30,17.30,173.8,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3412,Ryan Anderson
98,"Derrick Williams, NY",80,17.9,.550,9.2,7.5,21.8,3.6,18.7,11.3,17.28,17.28,123.9,4.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6480,Derrick Williams
99,"Mason Plumlee, POR",82,25.4,.564,21.6,14.7,17.1,10.4,22.2,16.3,17.24,17.24,206.6,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2488653,Mason Plumlee
100,"Marreese Speights, GS",72,11.6,.506,9.6,10.4,27.5,10.6,19.8,15.5,17.18,17.18,81.6,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3460,Marreese Speights
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Gorgui Dieng, MIN",82,27.1,.601,14.7,14.4,15.9,8.3,22.1,15.3,17.17,17.17,217.6,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2534781,Gorgui Dieng
102,"Jahlil Okafor, PHI",53,30.0,.536,6.2,11.8,24.9,8.1,17.8,12.8,17.14,17.14,155.4,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3135048,Jahlil Okafor
103,"Dewayne Dedmon, ORL",58,12.2,.606,5.1,12.5,14.0,10.4,25.7,17.9,17.08,17.08,68.2,2.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2580913,Dewayne Dedmon
104,"Aaron Gordon, ORL",78,23.9,.541,14.9,7.7,16.6,9.0,21.3,15.1,17.07,17.07,154.9,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3064290,Aaron Gordon
105,"Tim Duncan, SA",61,25.2,.523,21.7,12.0,17.2,8.8,23.8,16.6,16.98,16.98,146.2,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
106,"Michael Kidd-Gilchrist, CHA",7,29.3,.603,9.9,8.8,16.6,6.3,17.8,12.0,16.97,16.97,19.8,0.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6601,Michael Kidd-Gilchrist
107,"Rajon Rondo, SAC",72,35.2,.506,42.7,14.1,21.3,3.3,15.2,9.3,16.92,16.92,224.1,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3026,Rajon Rondo
108,"Marvin Williams, CHA",81,28.9,.585,11.2,6.3,15.6,5.9,18.6,12.2,16.90,16.90,188.3,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2797,Marvin Williams
109,"Dwight Powell, DAL",69,14.4,.557,9.9,9.0,16.9,9.3,20.9,15.1,16.87,16.87,79.6,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2531367,Dwight Powell
,"Salah Mejri, DAL",34,11.7,.636,7.6,17.5,12.8,11.4,22.6,17.0,16.87,16.87,37.1,1.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2968458,Salah Mejri
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Nene , WSH",57,19.2,.564,15.2,11.9,20.4,5.2,21.6,13.2,16.86,16.86,102.2,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1713,Nene 
112,"Khris Middleton, MIL",79,36.1,.560,18.5,10.1,22.4,1.8,10.2,6.1,16.85,16.85,270.1,9.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6609,Khris Middleton
113,"JJ Hickson, DEN/WSH",35,12.5,.514,9.3,10.1,20.5,9.8,24.1,16.8,16.83,16.83,40.5,1.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3437,JJ Hickson
114,"Jared Sullinger, BOS",81,23.6,.476,16.0,8.7,21.1,10.6,27.0,18.7,16.78,16.78,176.6,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=6624,Jared Sullinger
115,"Victor Oladipo, ORL",72,33.0,.534,18.6,10.1,22.3,2.2,14.0,8.0,16.77,16.77,222.6,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2527963,Victor Oladipo
116,"Ian Mahinmi, IND",71,25.6,.603,13.8,13.3,14.9,8.3,22.1,15.3,16.66,16.66,164.3,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2774,Ian Mahinmi
117,"Andrew Wiggins, MIN",81,35.1,.543,8.7,9.6,25.1,4.4,7.5,6.0,16.61,16.61,259.4,8.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3059319,Andrew Wiggins
118,"Christian Wood, PHI",17,8.5,.490,4.5,3.0,17.6,9.4,19.4,14.3,16.47,16.47,10.8,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3058254,Christian Wood
119,"Jordan Hill, IND",73,20.7,.534,11.1,11.8,19.0,11.3,21.2,16.3,16.42,16.42,131.5,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3994,Jordan Hill
120,"Kelly Olynyk, BOS",69,20.2,.561,13.3,9.4,20.1,5.4,16.2,10.7,16.33,16.33,119.4,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2489663,Kelly Olynyk
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
121,"Chandler Parsons, DAL",61,29.5,.589,17.3,9.7,19.5,1.8,15.6,8.7,16.31,16.31,155.9,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6466,Chandler Parsons
122,"Nerlens Noel, PHI",67,29.3,.544,12.6,16.3,17.6,8.2,22.2,15.0,16.28,16.28,140.1,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2991280,Nerlens Noel
123,"Mirza Teletovic, PHX",79,21.3,.571,8.7,8.3,22.1,3.5,16.3,9.7,16.27,16.27,120.0,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4385,Mirza Teletovic
124,"Zaza Pachulia, DAL",76,26.4,.550,15.3,14.2,15.3,13.7,25.7,19.7,16.26,16.26,169.2,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2016,Zaza Pachulia
125,"Jon Leuer, PHX",67,18.7,.555,11.0,11.4,18.9,6.4,26.3,16.1,16.24,16.24,88.8,3.0,http://insider.espn.go.com/nba/players/hollinger?playerId=6452,Jon Leuer
126,"Tobias Harris, DET/ORL",76,33.1,.560,13.3,8.5,19.7,4.1,18.6,11.2,16.23,16.23,215.1,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6440,Tobias Harris
127,"Tony Parker, SA",72,27.5,.546,29.3,10.1,21.6,1.0,8.8,5.1,16.22,16.22,154.2,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=1015,Tony Parker
