Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"Naz Mitrou-Long, UTAH",1,1.0,1.500,0.0,0.0,40.7,0.0,0.0,0.0,133.95,133.95,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2990968,Naz Mitrou-Long
2,"Anthony Brown, MIN",1,4.0,1.500,50.0,0.0,13.5,0.0,0.0,0.0,41.91,41.91,1.9,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2531362,Anthony Brown
3,"Edmond Sumner, IND",1,2.0,1.000,0.0,0.0,20.3,0.0,56.1,28.2,39.93,39.93,0.9,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3136485,Edmond Sumner
4,"Vince Shamar Hunter, MEM",4,1.8,.600,0.0,16.7,35.1,32.3,16.9,24.8,35.96,35.96,0.0,0.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3057304,Vince Shamar Hunter
5,"David Stockton, UTAH",3,3.0,1.050,0.0,17.4,26.1,0.0,0.0,0.0,33.91,33.91,3.1,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2489664,David Stockton
6,"James Harden, HOU",72,35.4,.619,23.2,11.6,35.9,1.8,15.2,8.6,29.87,29.87,718.5,23.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
7,"Anthony Davis, NO",75,36.4,.612,8.4,7.9,27.7,7.7,24.8,16.5,28.98,28.98,711.4,23.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
8,"LeBron James, CLE",82,36.9,.621,25.7,11.9,31.7,3.7,22.3,13.1,28.65,28.65,819.5,27.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
9,"Stephen Curry, GS",51,32.0,.675,21.2,10.5,30.0,2.7,14.4,9.0,28.32,28.32,421.7,14.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3975,Stephen Curry
10,"Giannis Antetokounmpo, MIL",75,36.7,.598,15.9,9.8,29.8,6.7,25.3,16.0,27.37,27.37,652.7,21.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3032977,Giannis Antetokounmpo
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"Monte Morris, DEN",3,8.3,.727,47.0,6.7,16.4,0.0,9.0,4.5,27.14,27.14,6.0,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3059310,Monte Morris
12,"MarShon Brooks, MEM",7,27.6,.629,16.3,10.4,28.9,5.3,8.0,6.6,26.40,26.40,45.8,1.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6428,MarShon Brooks
13,"Kevin Durant, GS",68,34.2,.640,18.6,10.5,29.1,1.6,19.5,11.2,26.05,26.05,539.7,18.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
14,"Kawhi Leonard, SA",9,23.3,.572,12.7,9.7,29.4,3.1,19.1,11.1,26.03,26.03,48.7,1.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
15,"Boban Marjanovic, DET/LAC",39,8.7,.616,8.8,14.5,29.7,15.6,31.4,23.5,25.98,25.98,77.6,2.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4376,Boban Marjanovic
16,"Jonathan Gibson, BOS",4,10.0,.739,13.3,10.0,27.7,0.0,8.1,4.1,25.49,25.49,8.7,0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2234666,Jonathan Gibson
