PLAYER,POS,LANE_AGILITY_TIME_SECONDS,SHUTTLE_RUN_SECONDS,THREE_QUARTER_SPRINT_SECONDS,STANDING_VERTICAL_LEAP_INCHES,MAX_VERTICAL_LEAP_INCHES
Shane Larkin,PG,10.64,3.03,3.08,34.5,44.0
Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0
Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5
Michael Carter-Williams,PG,10.68,3.70,3.22,31.5,41.0
Isaiah Canaan,PG,10.98,2.89,3.22,33.0,40.5
CJ Leslie,PF-SF,10.19,2.79,3.10,32.5,40.5
Glen Rice,SF-SG,10.99,3.08,3.25,33.0,40.5
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5
Ray McCallum,PG,10.82,3.08,3.25,30.5,40.0
Brandon Paul,SG,11.16,2.90,3.37,33.5,39.5
Carrick Felix,SF-SG,11.16,3.09,3.25,32.0,38.5
CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5
Phil Pressey,PG,10.86,3.02,3.13,33.0,38.5
Kenny Kadji,PF-C,11.47,2.88,3.44,34.0,38.0
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38.0
Vander Blue,SG,10.40,2.70,3.14,28.0,37.5
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0
Reggie Bullock,SG-SF,11.33,3.30,3.31,31.0,36.5
Trey Burke,PG,11.20,3.01,3.16,29.5,36.5
James Ennis,SF,11.55,3.06,3.40,29.5,36.5
Trevor Mbakwe,PF,12.01,2.97,3.32,30.0,36.5
Andre Roberson,PF-SF,11.36,3.02,3.34,30.0,36.5
Tony Snell,SF-SG,11.36,2.84,3.25,30.0,36.5
Robert Covington,SF-PF,11.69,3.10,3.34,29.5,36.0
Allen Crabbe,SG,10.67,3.10,3.32,30.5,36.0
Archie Goodwin,SG,10.75,3.41,3.27,30.0,36.0
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36.0
Otto Porter,SF,11.25,3.06,3.40,27.0,36.0
Kentavious Caldwell-Pope,SG,10.60,3.20,3.12,29.0,34.5
Will Clyburn,SF-SG,11.68,3.12,3.38,28.0,34.5
Norvel Pelle,PF-C,11.49,3.20,3.32,31.0,34.5
Lorenzo Brown,PG,11.78,3.24,3.40,28.0,34.0
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34.0
Dennis Schroder,PG,11.09,2.86,3.21,30.0,34.0
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5
Ricky Ledo,SG,10.72,3.16,3.32,27.0,33.5
Mike Muscala,C-PF,11.76,2.99,3.44,28.0,33.5
Steven Adams,C,11.85,3.02,3.40,28.5,33.0
Dewayne Dedmon,C,12.75,3.26,3.40,28.0,32.5
Jackie Carmichael,PF,11.83,3.07,3.35,30.0,32.0
James Southerland,SF-PF,10.90,3.03,3.38,29.0,32.0
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32.0
Brandon Davies,PF,11.22,3.14,3.50,26.0,31.5
Colton Iverson,C,11.52,3.04,3.52,26.5,30.0
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5
Rudy Gobert,C,12.85,3.19,3.57,25.0,29.0
Jeff Withey,C,12.49,3.29,3.47,26.5,29.0
Seth Curry,SG,-,-,-,-,-
Gorgui Dieng,C,-,-,-,-,-
Jamaal Franklin,SG-SF,-,-,-,-,-
Erick Green,PG,-,-,-,-,-
Richard Howell,PF,-,-,-,-,-
Pierre Jackson,PG,-,-,-,-,-
Ryan Kelly,PF,-,-,-,-,-
Alex Len,C,-,-,-,-,-
Nerlens Noel,C,-,-,-,-,-
Nate Wolters,PG,-,-,-,-,-
BJ Young,SG-PG,-,-,-,-,-
