PLAYER,POS,LANE_AGILITY,THREE_QUARTER_SPRINT_SECONDS,STANDING_VERTICAL_LEAP_INCHES,MAX_VERTICAL_LEAP_INCHES,MAX_BENCH_PRESS_REPS
Darius Johnson-Odom,SG,10.76,3.21,33.5,41.5,41.5
Miles Plumlee,PF-C,10.64,3.36,34.0,40.5,40.5
Marquis Teague,PG,10.65,3.19,32.5,40.5,40.5
Marcus Denmon,SG,10.82,3.19,33.5,40.0,40.0
Tony Mitchell,SG,11.72,3.47,31.5,40.0,40.0
Jeff Taylor,SF-SG,10.87,3.29,33.5,40.0,40.0
Harrison Barnes,SF-SG,10.93,3.16,38.0,39.5,39.5
Orlando Johnson,SG,10.98,3.25,32.0,39.5,39.5
Damian Lillard,PG,11.15,3.34,34.5,39.5,39.5
Bradley Beal,SG,10.95,3.28,33.0,39.0,39.0
Perry Jones,PF-SF,11.31,3.19,33.0,38.5,38.5
Jeremy Lamb,SG,10.98,3.25,31.5,38.0,38.0
Arnett Moultrie,PF,11.32,3.22,33.5,37.5,37.5
Austin Rivers,SG-PG,11.54,3.32,32.5,37.5,37.5
Terrence Ross,SG-SF,11.78,3.28,31.0,37.5,37.5
Quincy Acy,PF,10.48,3.28,32.0,37.0,37.0
Maurice Harkless,SF,10.87,3.25,32.5,37.0,37.0
Kendall Marshall,PG,12.03,3.23,31.0,37.0,37.0
Darius Miller,SF-SG,11.34,3.31,33.0,37.0,37.0
Kim English,SG,10.59,3.33,29.0,36.5,36.5
John Jenkins,SG,11.36,3.37,30.5,36.5,36.5
Kevin Murphy,SG,10.97,3.42,31.0,36.5,36.5
Tyshawn Taylor,PG,11.48,3.20,32.0,36.5,36.5
Jordan Taylor,PG,10.57,3.19,33.0,36.5,36.5
Hollis Thompson,SF,11.72,3.38,28.5,36.5,36.5
Quincy Miller,SF,11.05,3.48,30.5,36.0,36.0
Michael Kidd-Gilchrist,SF,11.77,3.18,32.0,35.5,35.5
Thomas Robinson,PF,11.96,3.17,28.5,35.5,35.5
Tony Wroten,PG,10.75,3.24,30.0,35.5,35.5
Tu Holloway,PG,11.00,3.42,28.0,35.0,35.0
Kris Joseph,SG,-,3.46,28.5,35.0,35.0
Jae Crowder,SF,11.45,3.37,31.0,34.5,34.5
Terrence Jones,PF-SF,11.57,3.40,29.5,34.5,34.5
Will Barton,SG-SF,12.50,3.60,30.0,34.0,34.0
Drew Gordon,PF,11.35,3.49,29.0,34.0,34.0
Tyler Zeller,PF-C,11.13,3.40,30.0,34.0,34.0
Andre Drummond,C,10.83,3.39,31.5,33.5,33.5
Festus Ezeli,C-PF,12.35,3.29,34.0,33.5,33.5
Doron Lamb,SG-PG,11.12,3.41,29.0,33.5,33.5
Draymond Green,PF-SF,11.01,3.40,28.0,33.0,33.0
William Buford,SG-SF,11.40,3.43,27.5,32.5,32.5
JaMychal Green,PF,10.63,3.38,29.5,32.5,32.5
Bernard James,PF,11.84,3.40,30.0,32.5,32.5
Kevin Jones,PF,11.94,3.60,27.5,32.5,32.5
Meyers Leonard,C,11.34,3.41,30.0,32.5,32.5
Scott Machado,PG,11.26,3.30,27.0,32.5,32.5
Mike Scott,PF,11.59,3.44,27.0,32.5,32.5
Kyle O'Quinn,PF,11.65,3.53,31.5,31.5,31.5
Fab Melo,C,12.14,3.44,29.5,31.0,31.0
Khris Middleton,SF,11.45,3.47,28.0,31.0,31.0
Jared Sullinger,PF,12.77,3.81,29.5,31.0,31.0
Andrew Nicholson,PF,11.89,3.67,28.5,30.5,30.5
John Henson,PF,-,-,25.5,30.0,30.0
Robbie Hummel,SF,11.56,3.41,27.5,30.0,30.0
J'Covan Brown,PG,11.68,3.47,26.0,29.5,29.5
Henry Sims,C-PF,12.33,3.44,26.5,29.5,29.5
Jared Cunningham,SG-PG,-,-,-,-,-
Anthony Davis,PF-C,-,-,-,-,-
Tomas Satoransky,PG-SG,-,-,-,-,-
Dion Waiters,SG,-,-,-,-,-
Royce White,PF,-,-,-,-,-
