PLAYER,POS,LANE_AGILITY_TIME_SECONDS,SHUTTLE_RUN_SECONDS,THREE_QUARTER_SPRINT_SECONDS,STANDING_VERTICAL_LEAP_INCHES,MAX_VERTICAL_LEAP_INCHES
Markel Brown,SG,12.62,2.90,3.18,36.5,43.5
Nick Johnson,SG,10.80,2.95,3.27,33.5,41.5
Zach LaVine,PG,10.42,2.80,3.19,33.5,41.5
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5
Cleanthony Early,SF,11.15,2.96,3.18,34.0,40.0
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5
Deonte Burton,PG,11.28,3.08,3.28,29.0,39.5
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39.0
Jordan Clarkson,PG,10.76,2.98,3.28,33.0,38.5
Cory Jefferson,PF,12.63,3.39,3.36,33.0,37.5
Shabazz Napier,PG,11.60,3.13,3.20,30.5,37.5
C.J. Wilcox,SG,11.30,2.92,3.22,31.0,37.5
Patric Young,PF,11.18,3.06,3.43,32.0,37.5
P.J. Hairston,SG,11.12,-,3.32,32.0,37.0
K.J. McDaniels,SF,12.71,3.20,3.10,33.0,37.0
Noah Vonleh,PF,11.45,3.29,3.28,31.0,37.0
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5
Doug McDermott,SF,11.10,3.15,3.29,28.5,36.5
Tyler Ennis,PG,11.12,2.84,3.30,29.0,36.0
Rodney Hood,SF,11.21,3.14,3.38,29.0,36.0
Marcus Smart,PG,10.82,2.96,3.26,33.0,36.0
Jarnell Stokes,PF,11.92,3.20,3.26,31.0,36.0
Khem Birch,PF,11.60,3.24,3.26,30.5,35.5
Johnny O?Bryant III,PF,11.57,3.32,3.45,31.0,35.5
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5
Julius Randle,PF,11.45,3.14,3.27,29.0,35.5
Nik Stauskas,SG,10.79,2.92,3.27,29.0,35.5
T.J. Warren,SF,11.10,3.04,3.26,27.0,35.5
James Young,SG,-,-,-,28.0,35.5
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35.0
C.J. Fair,SF,11.00,3.06,3.32,27.0,35.0
Devyn Marble,SG,11.32,3.08,3.28,29.0,35.0
Dwight Powell,PF,11.28,2.88,3.20,28.5,35.0
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5
James McAdoo,PF,11.61,2.91,3.28,29.5,34.0
Russ Smith,PG,11.57,3.01,3.27,29.5,34.0
Cameron Bairstow,PF,11.39,3.09,3.37,31.0,33.5
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5
Jordan Bachynski,PF,12.15,3.03,3.36,29.0,33.0
Kendall Williams,PG,10.83,2.85,-,27.0,33.0
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5
Xavier Thames,PG,11.48,3.02,3.48,29.0,32.5
Jabari Brown,SG,11.60,3.26,3.50,28.0,32.0
Aaron Craft,PG,10.78,2.90,3.26,29.0,32.0
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32.0
Alex Kirk,PF,11.20,3.19,3.48,28.5,31.5
LaQuinton Ross,SF,11.97,3.52,3.44,25.0,31.0
Alec Brown,PF,12.05,2.91,3.48,27.0,30.0
Jordan Adams,SG,12.13,3.05,3.50,24.5,29.5
Kyle Anderson,SF,-,-,-,-,-
Spencer Dinwiddie,PG,-,-,-,-,-
Jerami Grant,SF,-,-,-,-,-
Gary Harris,SG,-,-,-,-,-
Sean Kilpatrick,SG,-,-,-,-,-
Adreian Payne,PF,-,-,-,-,-
