PLAYER,POS,LANE_AGILITY,THREE_QUARTER_SPRINT_SECONDS,STANDING_VERTICAL_LEAP_INCHES,MAX_VERTICAL_LEAP_INCHES,MAX_BENCH_PRESS_REPS
Terrico White,SG-PG,11.38,3.15,31.0,40.0,40.0
John Wall,PG,10.84,3.14,30.0,39.0,39.0
Armon Johnson,PG-SG,11.25,3.19,31.5,38.5,38.5
Luke Babbitt,SF-PF,10.98,3.40,29.5,37.5,37.5
Avery Bradley,SG-PG,11.47,3.14,31.5,37.5,37.5
Stanley Robinson,SF,11.65,3.23,-,37.5,37.5
Wesley Johnson,SF,11.43,3.14,32.0,37.0,37.0
Xavier Henry,SG,11.10,3.18,28.5,36.5,36.5
Trevor Booker,PF,11.15,3.10,31.0,36.0,36.0
Ed Davis,PF,11.70,3.21,31.0,36.0,36.0
Lazar Hayward,SG-SF,10.87,3.31,31.0,36.0,36.0
James Anderson,SF,11.86,3.19,30.0,35.5,35.5
Derrick Favors,PF,11.74,3.25,31.5,35.5,35.5
Craig Brackins,PF-SF,11.65,3.39,26.0,35.0,35.0
Jordan Crawford,SG,11.03,3.37,31.5,34.5,34.5
Gordon Hayward,SF,11.73,3.22,30.5,34.5,34.5
Evan Turner,SG,11.06,3.27,27.5,34.5,34.5
Darington Hobson,SG-SF,11.68,3.25,29.0,34.0,34.0
Al-Farouq Aminu,SF,11.29,3.30,27.0,33.5,33.5
Patrick Patterson,PF,11.14,3.25,28.5,33.5,33.5
Ekpe Udoh,PF,11.15,3.29,31.0,33.5,33.5
Sherron Collins,PG,12.31,3.24,27.5,33.0,33.0
Damion James,SF,10.89,3.20,29.0,33.0,33.0
Lance Stephenson,SG,11.39,3.38,27.0,33.0,33.0
Dominique Jones,SG,10.88,3.31,26.0,32.5,32.5
Jarvis Varnado,PF-C,11.61,3.37,29.5,32.5,32.5
Devin Ebanks,SF,11.69,3.44,23.5,32.0,32.0
Sylven Landesberg,SG,11.59,3.36,28.0,32.0,32.0
Mikhail Torrance,PG,11.43,3.17,23.0,32.0,32.0
Gani Lawal,PF,11.61,3.24,27.0,31.5,31.5
Willie Warren,SG-PG,11.21,3.50,23.0,31.5,31.5
Hassan Whiteside,C-PF,11.83,3.54,27.0,31.5,31.5
Derrick Caracter,PF,12.78,3.61,25.0,30.5,30.5
Charles Garcia,SF,11.65,3.23,24.5,30.5,30.5
Daniel Orton,C,12.32,3.39,24.0,30.5,30.5
Andy Rautins,SG,11.27,3.49,23.5,30.5,30.5
Greg Monroe,PF-C,12.10,3.35,25.0,29.0,29.0
Keith Gallon,PF-C,13.44,3.70,23.5,28.5,28.5
Luke Harangody,PF,11.83,3.41,24.0,28.5,28.5
Ryan Richards,PF,11.33,3.37,25.0,28.5,28.5
Cole Aldrich,C,11.48,3.35,23.0,28.0,28.0
Larry Sanders,PF-C,12.49,3.27,25.5,28.0,28.0
DeMarcus Cousins,C,11.40,3.55,23.5,27.5,27.5
Artsiom Parakhouski,C,12.07,3.33,25.5,26.5,26.5
Solomon Alabi,C,13.20,3.68,22.5,26.0,26.0
Eric Bledsoe,PG,-,-,-,-,-
Paul George,SF,-,-,-,-,-
Manny Harris,SG,-,-,-,-,-
Jerome Jordan,C,-,-,-,-,-
Dexter Pittman,PF-C,-,-,-,-,-
Jon Scheyer,PG-SG,-,-,-,-,-
Greivis Vasquez,PG-SG,-,-,-,-,-
